raw_speciesname_europe,fit.x,NCountries,nCountriesRLEur,RedListCategoryEurope,EuropeanEndemic,Endemic,EdgeOfRange,fit.y,nCountriesRLEU,NCountriesEU,RedListCategoryEU,HabitatsDirective
Limenitis reducta,19.03,24,24,LC,0,0,0,20.63,15,15,LC,0
Pyrgus cinarae,19.01,8,8,LC,0,0,0,14.71,3,3,LC,0
Melitaea cinxia,18.84,37,37,LC,0,0,0,18,25,25,LC,0
Colias caucasica,18.76,8,8,LC,0,0,0,16.14,3,3,LC,0
Polyommatus thersites,18.64,26,26,LC,0,0,0,22.52,16,16,LC,0
Lycaena dispar,18.38,32,32,LC,0,0,0,20.52,22,22,LC,II+IV
Lycaena ottomana,18.3,6,6,LC,0,0,0,20.2,3,3,LC,0
Erynnis marloyi,18.17,4,4,LC,0,0,0,20.25,2,2,LC,0
Papilio alexanor,18.06,8,8,LC,0,0,0,17.57,4,4,LC,IV
Anthocharis damone,17.97,5,5,LC,0,0,0,20.4,2,2,LC,0
Pyrgus warrenensis,17.74,6,6,LC,EuropeanEndemic,0,0,15.33,5,5,LC,0
Pyrgus serratulae,17.53,33,33,LC,0,0,0,19.28,21,21,NT,0
Thymelicus acteon,17.49,30,30,NT,0,0,0,24.4,20,20,NT,0
Glaucopsyche alexis,17.47,35,35,LC,0,0,0,19.36,22,22,LC,0
Spialia phlomidis,17.11,5,5,LC,0,0,0,16.4,2,2,LC,0
Zerynthia polyxena,17,21,21,LC,0,0,0,21.47,11,11,LC,IV
Lycaena thersamon,16.99,18,18,LC,0,0,0,20,10,10,LC,0
Polyommatus ripartii,16.93,13,13,LC,0,0,0,14.75,7,7,NT,0
Apatura metis,16.9,14,14,LC,0,0,0,14.5,7,7,LC,IV
Zerynthia cerisy,16.89,9,9,NT,0,0,0,19.14,5,5,NT,0
Coenonympha orientalis,16.84,5,5,VU,EuropeanEndemic,0,0,18,1,1,DD,0
Colias hecla,16.81,4,4,NT,0,0,0,17,2,2,NT,0
Erebia manto,16.68,13,13,LC,EuropeanEndemic,0,0,15.09,9,9,LC,0
Pyrgus alveus,16.52,33,33,LC,0,0,0,14.85,20,20,LC,0
Kretania sephirus,16.39,11,11,LC,0,0,0,12,4,4,LC,0
Aricia morronensis,16.37,3,3,LC,EuropeanEndemic,0,0,27,2,2,LC,0
Erebia medusa,16.32,26,26,LC,0,0,0,15.29,15,15,LC,0
Satyrium ilicis,16.19,34,34,LC,0,0,0,20.57,23,23,LC,0
Euphydryas desfontainii,15.87,3,3,NT,0,0,0,15.5,3,3,NT,0
Tomares ballus,15.87,3,3,LC,0,0,0,15.5,3,3,LC,0
Melitaea asteria,15.84,3,3,LC,EuropeanEndemic,0,0,23.67,2,2,LC,0
Euphydryas intermedia,15.59,6,6,LC,0,0,0,14.4,4,4,LC,0
Hipparchia fagi,15.36,21,21,NT,EuropeanEndemic,0,0,15.06,13,13,NT,0
Melitaea trivia,15.34,21,21,LC,0,0,0,18.69,12,12,NT,0
Erebia gorge,15.27,19,19,LC,EuropeanEndemic,0,0,17.94,11,11,LC,0
Plebejus argyrognomon,15.26,28,28,LC,0,0,0,15.91,17,17,LC,0
Lycaena hippothoe,15.23,30,30,LC,0,0,0,20.04,21,21,NT,0
Erebia aethiops,15.2,27,27,LC,0,0,0,16.95,17,17,LC,0
Erebia melas,14.95,10,10,LC,EuropeanEndemic,0,0,13.12,5,5,LC,0
Erebia nivalis,14.72,3,3,LC,EuropeanEndemic,0,0,13.67,2,2,LC,0
Nymphalis xanthomelas,14.49,23,23,LC,0,0,0,16.95,15,15,NT,0
Boloria thore,14.49,11,11,LC,0,0,0,15.11,6,6,LC,0
Erebia styx,14.48,5,5,LC,EuropeanEndemic,0,0,18.4,4,4,LC,0
Pieris bryoniae,13.94,14,14,LC,0,0,0,14.27,10,10,LC,0
Euphydryas iduna,13.7,4,4,NT,0,0,0,13.67,2,2,NT,0
Oeneis bore,13.7,4,4,LC,0,0,0,13.67,2,2,LC,0
