"raw_speciesname_europe","RLCNum_species","raw_country_code","raw_red_list_category","Country.x","RLCNum","Country.y","EU","Area","Npeople","sqrtArea"
"Aglais urticae",1,"AD","LC","Andorra",1,"Andorra",,468,76965,21.6333076527839
"Aglais urticae",1,"AL","Unknown","Albania",1,"Albania",,28748,2930187,169.552351797314
"Aglais urticae",1,"AT","LC","Austria",1,"Austria","EU",83858,8735453,289.58245803225
"Aglais urticae",1,"BA","LC","Bosnia and Herzegovina",1,"Bosnia and Herzegovina",,51129,3507017,226.117226234535
"Aglais urticae",1,"BE","LC","Belgium",1,"Belgium","EU",30528,11429336,174.722637342732
"Aglais urticae",1,"BG","LC","Bulgaria",1,"Bulgaria","EU",110994,7084571,333.15762035409
"Aglais urticae",1,"BY","Unknown","Belarus",1,"Belarus",,207600,9468338,455.631429995781
"Aglais urticae",1,"CH","LC","Switzerland",1,"Switzerland",,41290,8476005,203.199409447961
"Aglais urticae",1,"CZ","NE","Czech Republic",1,"Czech Republic","EU",78866,10618303,280.830909979653
"Aglais urticae",1,"DE","LC","Germany",1,"Germany","EU",357168,82114224,597.6353403205
"Aglais urticae",1,"DK","LC","Denmark",1,"Denmark","EU",44493,5733551,210.93363885355
"Aglais urticae",1,"EE","LC","Estonia",1,"Estonia","EU",45339,1309632,212.92956581931
"Aglais urticae",1,"ES","NE","Spain",1,"Spain","EU",498468,46354321,706.022662525786
"Aglais urticae",1,"FI","LC","Finland",1,"Finland","EU",338145,5523231,581.502364569569
"Aglais urticae",1,"FR","LC","France",1,"France","EU",551394,64979548,742.559088557941
"Aglais urticae",1,"GB","LC","United Kingdom",1,"United Kingdom","EU",244820,66181585,494.79288596341
"Aglais urticae",1,"GR","LC","Greece",1,"Greece","EU",131940,11159773,363.235460823967
"Aglais urticae",1,"HR","LC","Croatia",1,"Croatia","EU",56594,4189353,237.894934792652
"Aglais urticae",1,"HU","LC","Hungary",1,"Hungary","EU",93030,9721559,305.008196611173
"Aglais urticae",1,"IE","LC","Ireland",1,"Ireland","EU",70273,4761657,265.09055056716
"Aglais urticae",1,"IT","LC","Italy",1,"Italy","EU",301318,59359900,548.924402809713
"Aglais urticae",1,"LI","No Red List available",,,"Liechtenstein",,160,37922,12.6491106406735
"Aglais urticae",1,"LT","LC","Lithuania",1,"Lithuania","EU",65300,2890297,255.538646783613
"Aglais urticae",1,"LU","LC","Luxembourg",1,"Luxembourg","EU",2428,583455,49.2747399790197
"Aglais urticae",1,"LV","No Red List available",,,"Latvia","EU",64589,1949670,254.143660160941
"Aglais urticae",1,"MD","No Red List available",,,"Moldova",,33846,4051212,183.97282408008
"Aglais urticae",1,"ME","No Red List available",,,"Montenegro",,13812,628960,117.524465538032
"Aglais urticae",1,"MK","Unknown","Macedonia",1,"Macedonia",,25713,2083160,160.352736178713
"Aglais urticae",1,"NL","LC","Netherlands",1,"Netherlands","EU",41198,17035938,202.972904595663
"Aglais urticae",1,"NO","LC","Norway",1,"Norway",,385178,5305383,620.627102211948
"Aglais urticae",1,"PL","LC","Poland",1,"Poland","EU",312685,38170712,559.182438923112
"Aglais urticae",1,"PT","No Red List available",,,"Portugal","EU",91568,10329506,302.602048902515
"Aglais urticae",1,"RO","NT",,,"Romania","EU",238392,19679306,488.254032241414
"Aglais urticae",1,"RS","LC","Serbia",1,"Serbia",,88361,8790574,297.255782113654
"Aglais urticae",1,"RU","No Red List available",,,"Russia",,3972400,,1993.08805625843
"Aglais urticae",1,"SE","LC","Sweden",1,"Sweden","EU",449964,9910701,670.793559897529
"Aglais urticae",1,"SI","LC","Slovenia",1,"Slovenia","EU",20273,2079976,142.383285535908
"Aglais urticae",1,"SK","LC","Slovakia",1,"Slovakia","EU",49036,5447662,221.440736992993
"Aglais urticae",1,"UA","LC","Ukraine",1,"Ukraine",,603628,44222947,776.935003716527
"Agriades aquilo",23.6666666666667,"FI","EN","Finland",50,"Finland","EU",338145,5523231,581.502364569569
"Agriades aquilo",23.6666666666667,"NO","LC","Norway",1,"Norway",,385178,5305383,620.627102211948
"Agriades aquilo",23.6666666666667,"RU","No Red List available",,,"Russia",,3972400,,1993.08805625843
"Agriades aquilo",23.6666666666667,"SE","NT","Sweden",20,"Sweden","EU",449964,9910701,670.793559897529
"Agriades dardanus",40,"BA","VU","Bosnia and Herzegovina",30,"Bosnia and Herzegovina",,51129,3507017,226.117226234535
"Agriades dardanus",40,"BG","EN","Bulgaria",50,"Bulgaria","EU",110994,7084571,333.15762035409
"Agriades dardanus",40,"GR","EN","Greece",50,"Greece","EU",131940,11159773,363.235460823967
"Agriades dardanus",40,"RU","No Red List available",,,"Russia",,3972400,,1993.08805625843
"Agriades dardanus",40,"UA","VU","Ukraine",30,"Ukraine",,603628,44222947,776.935003716527
"Agriades glandon",9.14285714285714,"AD","NT","Andorra",20,"Andorra",,468,76965,21.6333076527839
"Agriades glandon",9.14285714285714,"AT","NT","Austria",20,"Austria","EU",83858,8735453,289.58245803225
"Agriades glandon",9.14285714285714,"CH","LC","Switzerland",1,"Switzerland",,41290,8476005,203.199409447961
"Agriades glandon",9.14285714285714,"DE","R","Germany",20,"Germany","EU",357168,82114224,597.6353403205
"Agriades glandon",9.14285714285714,"ES","NE","Spain",1,"Spain","EU",498468,46354321,706.022662525786
"Agriades glandon",9.14285714285714,"FR","LC","France",1,"France","EU",551394,64979548,742.559088557941
"Agriades glandon",9.14285714285714,"IT","LC","Italy",1,"Italy","EU",301318,59359900,548.924402809713
"Agriades glandon",9.14285714285714,"LI","No Red List available",,,"Liechtenstein",,160,37922,12.6491106406735
"Agriades optilete",22.45,"AT","VU","Austria",30,"Austria","EU",83858,8735453,289.58245803225
"Agriades optilete",22.45,"BY","Unknown","Belarus",1,"Belarus",,207600,9468338,455.631429995781
"Agriades optilete",22.45,"CH","LC","Switzerland",1,"Switzerland",,41290,8476005,203.199409447961
"Agriades optilete",22.45,"CZ","VU","Czech Republic",30,"Czech Republic","EU",78866,10618303,280.830909979653
"Agriades optilete",22.45,"DE","EN","Germany",50,"Germany","EU",357168,82114224,597.6353403205
"Agriades optilete",22.45,"DK","NT","Denmark",20,"Denmark","EU",44493,5733551,210.93363885355
"Agriades optilete",22.45,"EE","LC","Estonia",1,"Estonia","EU",45339,1309632,212.92956581931
"Agriades optilete",22.45,"FI","LC","Finland",1,"Finland","EU",338145,5523231,581.502364569569
"Agriades optilete",22.45,"FR","LC","France",1,"France","EU",551394,64979548,742.559088557941
"Agriades optilete",22.45,"IT","LC","Italy",1,"Italy","EU",301318,59359900,548.924402809713
"Agriades optilete",22.45,"LT","LC","Lithuania",1,"Lithuania","EU",65300,2890297,255.538646783613
"Agriades optilete",22.45,"LV","No Red List available",,,"Latvia","EU",64589,1949670,254.143660160941
"Agriades optilete",22.45,"MK","VU","Macedonia",30,"Macedonia",,25713,2083160,160.352736178713
"Agriades optilete",22.45,"NL","CR","Netherlands",80,"Netherlands","EU",41198,17035938,202.972904595663
"Agriades optilete",22.45,"NO","LC","Norway",1,"Norway",,385178,5305383,620.627102211948
"Agriades optilete",22.45,"PL","EN","Poland",50,"Poland","EU",312685,38170712,559.182438923112
"Agriades optilete",22.45,"RO","RE",,,"Romania","EU",238392,19679306,488.254032241414
"Agriades optilete",22.45,"RS","EN","Serbia",50,"Serbia",,88361,8790574,297.255782113654
"Agriades optilete",22.45,"RU","No Red List available",,,"Russia",,3972400,,1993.08805625843
"Agriades optilete",22.45,"SE","LC","Sweden",1,"Sweden","EU",449964,9910701,670.793559897529
"Agriades optilete",22.45,"SI","NT","Slovenia",20,"Slovenia","EU",20273,2079976,142.383285535908
"Agriades optilete",22.45,"SK","EN","Slovakia",50,"Slovakia","EU",49036,5447662,221.440736992993
"Agriades optilete",22.45,"UA","VU","Ukraine",30,"Ukraine",,603628,44222947,776.935003716527
"Agriades orbitulus",8.125,"AT","NT","Austria",20,"Austria","EU",83858,8735453,289.58245803225
"Agriades orbitulus",8.125,"CH","LC","Switzerland",1,"Switzerland",,41290,8476005,203.199409447961
"Agriades orbitulus",8.125,"DE","R","Germany",20,"Germany","EU",357168,82114224,597.6353403205
"Agriades orbitulus",8.125,"FR","LC","France",1,"France","EU",551394,64979548,742.559088557941
"Agriades orbitulus",8.125,"IT","LC","Italy",1,"Italy","EU",301318,59359900,548.924402809713
"Agriades orbitulus",8.125,"LI","No Red List available",,,"Liechtenstein",,160,37922,12.6491106406735
"Agriades orbitulus",8.125,"NO","LC","Norway",1,"Norway",,385178,5305383,620.627102211948
"Agriades orbitulus",8.125,"RU","No Red List available",,,"Russia",,3972400,,1993.08805625843
"Agriades orbitulus",8.125,"SE","LC","Sweden",1,"Sweden","EU",449964,9910701,670.793559897529
"Agriades orbitulus",8.125,"SI","NT","Slovenia",20,"Slovenia","EU",20273,2079976,142.383285535908
"Agriades pyrenaicus",1,"ES","NE","Spain",1,"Spain","EU",498468,46354321,706.022662525786
"Agriades pyrenaicus",1,"FR","LC","France",1,"France","EU",551394,64979548,742.559088557941
"Agriades zullichi",50,"ES","EN","Spain",50,"Spain","EU",498468,46354321,706.022662525786
"Anthocharis cardamines",1,"AD","LC","Andorra",1,"Andorra",,468,76965,21.6333076527839
"Anthocharis cardamines",1,"AL","Unknown","Albania",1,"Albania",,28748,2930187,169.552351797314
"Anthocharis cardamines",1,"AT","LC","Austria",1,"Austria","EU",83858,8735453,289.58245803225
"Anthocharis cardamines",1,"BA","LC","Bosnia and Herzegovina",1,"Bosnia and Herzegovina",,51129,3507017,226.117226234535
"Anthocharis cardamines",1,"BE","LC","Belgium",1,"Belgium","EU",30528,11429336,174.722637342732
"Anthocharis cardamines",1,"BG","LC","Bulgaria",1,"Bulgaria","EU",110994,7084571,333.15762035409
"Anthocharis cardamines",1,"BY","Unknown","Belarus",1,"Belarus",,207600,9468338,455.631429995781
"Anthocharis cardamines",1,"CH","LC","Switzerland",1,"Switzerland",,41290,8476005,203.199409447961
"Anthocharis cardamines",1,"CY","No Red List available",,,"Cyprus","EU",9251,1179551,96.1821189203066
"Anthocharis cardamines",1,"CZ","NE","Czech Republic",1,"Czech Republic","EU",78866,10618303,280.830909979653
"Anthocharis cardamines",1,"DE","LC","Germany",1,"Germany","EU",357168,82114224,597.6353403205
"Anthocharis cardamines",1,"DK","LC","Denmark",1,"Denmark","EU",44493,5733551,210.93363885355
"Anthocharis cardamines",1,"EE","LC","Estonia",1,"Estonia","EU",45339,1309632,212.92956581931
"Anthocharis cardamines",1,"ES","NE","Spain",1,"Spain","EU",498468,46354321,706.022662525786
"Anthocharis cardamines",1,"FI","LC","Finland",1,"Finland","EU",338145,5523231,581.502364569569
"Anthocharis cardamines",1,"FR","LC","France",1,"France","EU",551394,64979548,742.559088557941
"Anthocharis cardamines",1,"GB","LC","United Kingdom",1,"United Kingdom","EU",244820,66181585,494.79288596341
"Anthocharis cardamines",1,"GR","LC","Greece",1,"Greece","EU",131940,11159773,363.235460823967
"Anthocharis cardamines",1,"HR","LC","Croatia",1,"Croatia","EU",56594,4189353,237.894934792652
"Anthocharis cardamines",1,"HU","LC","Hungary",1,"Hungary","EU",93030,9721559,305.008196611173
"Anthocharis cardamines",1,"IE","LC","Ireland",1,"Ireland","EU",70273,4761657,265.09055056716
"Anthocharis cardamines",1,"IT","LC","Italy",1,"Italy","EU",301318,59359900,548.924402809713
"Anthocharis cardamines",1,"LI","No Red List available",,,"Liechtenstein",,160,37922,12.6491106406735
"Anthocharis cardamines",1,"LT","LC","Lithuania",1,"Lithuania","EU",65300,2890297,255.538646783613
"Anthocharis cardamines",1,"LU","LC","Luxembourg",1,"Luxembourg","EU",2428,583455,49.2747399790197
"Anthocharis cardamines",1,"LV","No Red List available",,,"Latvia","EU",64589,1949670,254.143660160941
"Anthocharis cardamines",1,"MD","No Red List available",,,"Moldova",,33846,4051212,183.97282408008
"Anthocharis cardamines",1,"ME","No Red List available",,,"Montenegro",,13812,628960,117.524465538032
"Anthocharis cardamines",1,"MK","Unknown","Macedonia",1,"Macedonia",,25713,2083160,160.352736178713
"Anthocharis cardamines",1,"NL","LC","Netherlands",1,"Netherlands","EU",41198,17035938,202.972904595663
"Anthocharis cardamines",1,"NO","LC","Norway",1,"Norway",,385178,5305383,620.627102211948
"Anthocharis cardamines",1,"PL","LC","Poland",1,"Poland","EU",312685,38170712,559.182438923112
"Anthocharis cardamines",1,"PT","No Red List available",,,"Portugal","EU",91568,10329506,302.602048902515
"Anthocharis cardamines",1,"RO","LC",,,"Romania","EU",238392,19679306,488.254032241414
"Anthocharis cardamines",1,"RS","LC","Serbia",1,"Serbia",,88361,8790574,297.255782113654
"Anthocharis cardamines",1,"RU","No Red List available",,,"Russia",,3972400,,1993.08805625843
"Anthocharis cardamines",1,"SE","LC","Sweden",1,"Sweden","EU",449964,9910701,670.793559897529
"Anthocharis cardamines",1,"SI","LC","Slovenia",1,"Slovenia","EU",20273,2079976,142.383285535908
"Anthocharis cardamines",1,"SK","LC","Slovakia",1,"Slovakia","EU",49036,5447662,221.440736992993
"Anthocharis cardamines",1,"UA","LC","Ukraine",1,"Ukraine",,603628,44222947,776.935003716527
"Anthocharis damone",20.4,"AL","Unknown","Albania",1,"Albania",,28748,2930187,169.552351797314
"Anthocharis damone",20.4,"GR","NT","Greece",20,"Greece","EU",131940,11159773,363.235460823967
"Anthocharis damone",20.4,"IT","LC","Italy",1,"Italy","EU",301318,59359900,548.924402809713
"Anthocharis damone",20.4,"MK","VU","Macedonia",30,"Macedonia",,25713,2083160,160.352736178713
"Anthocharis damone",20.4,"RS","EN","Serbia",50,"Serbia",,88361,8790574,297.255782113654
"Anthocharis euphenoides",5.75,"AD","LC","Andorra",1,"Andorra",,468,76965,21.6333076527839
"Anthocharis euphenoides",5.75,"ES","NE","Spain",1,"Spain","EU",498468,46354321,706.022662525786
"Anthocharis euphenoides",5.75,"FR","LC","France",1,"France","EU",551394,64979548,742.559088557941
"Anthocharis euphenoides",5.75,"IT","NT","Italy",20,"Italy","EU",301318,59359900,548.924402809713
"Anthocharis euphenoides",5.75,"PT","No Red List available",,,"Portugal","EU",91568,10329506,302.602048902515
"Anthocharis gruneri",22.4,"AL","VU","Albania",30,"Albania",,28748,2930187,169.552351797314
"Anthocharis gruneri",22.4,"BG","VU","Bulgaria",30,"Bulgaria","EU",110994,7084571,333.15762035409
"Anthocharis gruneri",22.4,"GR","LC","Greece",1,"Greece","EU",131940,11159773,363.235460823967
"Anthocharis gruneri",22.4,"MK","Unknown","Macedonia",1,"Macedonia",,25713,2083160,160.352736178713
"Anthocharis gruneri",22.4,"RS","EN","Serbia",50,"Serbia",,88361,8790574,297.255782113654
"Apatura ilia",8.38461538461539,"AD","DD","Andorra",1,"Andorra",,468,76965,21.6333076527839
"Apatura ilia",8.38461538461539,"AL","VU","Albania",30,"Albania",,28748,2930187,169.552351797314
"Apatura ilia",8.38461538461539,"AT","NT","Austria",20,"Austria","EU",83858,8735453,289.58245803225
"Apatura ilia",8.38461538461539,"BA","NT","Bosnia and Herzegovina",20,"Bosnia and Herzegovina",,51129,3507017,226.117226234535
"Apatura ilia",8.38461538461539,"BE","LC","Belgium",1,"Belgium","EU",30528,11429336,174.722637342732
"Apatura ilia",8.38461538461539,"BG","LC","Bulgaria",1,"Bulgaria","EU",110994,7084571,333.15762035409
"Apatura ilia",8.38461538461539,"BY","Unknown","Belarus",1,"Belarus",,207600,9468338,455.631429995781
"Apatura ilia",8.38461538461539,"CH","VU","Switzerland",30,"Switzerland",,41290,8476005,203.199409447961
"Apatura ilia",8.38461538461539,"CZ","NE","Czech Republic",1,"Czech Republic","EU",78866,10618303,280.830909979653
"Apatura ilia",8.38461538461539,"DE","NT","Germany",20,"Germany","EU",357168,82114224,597.6353403205
"Apatura ilia",8.38461538461539,"EE","LC","Estonia",1,"Estonia","EU",45339,1309632,212.92956581931
"Apatura ilia",8.38461538461539,"ES","NE","Spain",1,"Spain","EU",498468,46354321,706.022662525786
"Apatura ilia",8.38461538461539,"FI","LC","Finland",1,"Finland","EU",338145,5523231,581.502364569569
"Apatura ilia",8.38461538461539,"FR","LC","France",1,"France","EU",551394,64979548,742.559088557941
"Apatura ilia",8.38461538461539,"GR","LC","Greece",1,"Greece","EU",131940,11159773,363.235460823967
"Apatura ilia",8.38461538461539,"HR","NT","Croatia",20,"Croatia","EU",56594,4189353,237.894934792652
"Apatura ilia",8.38461538461539,"HU","LC","Hungary",1,"Hungary","EU",93030,9721559,305.008196611173
"Apatura ilia",8.38461538461539,"IT","LC","Italy",1,"Italy","EU",301318,59359900,548.924402809713
"Apatura ilia",8.38461538461539,"LI","No Red List available",,,"Liechtenstein",,160,37922,12.6491106406735
"Apatura ilia",8.38461538461539,"LT","LC","Lithuania",1,"Lithuania","EU",65300,2890297,255.538646783613
"Apatura ilia",8.38461538461539,"LU","VU","Luxembourg",30,"Luxembourg","EU",2428,583455,49.2747399790197
"Apatura ilia",8.38461538461539,"LV","No Red List available",,,"Latvia","EU",64589,1949670,254.143660160941
"Apatura ilia",8.38461538461539,"MD","No Red List available",,,"Moldova",,33846,4051212,183.97282408008
"Apatura ilia",8.38461538461539,"ME","No Red List available",,,"Montenegro",,13812,628960,117.524465538032
"Apatura ilia",8.38461538461539,"MK","Unknown","Macedonia",1,"Macedonia",,25713,2083160,160.352736178713
"Apatura ilia",8.38461538461539,"PL","LC","Poland",1,"Poland","EU",312685,38170712,559.182438923112
"Apatura ilia",8.38461538461539,"PT","No Red List available",,,"Portugal","EU",91568,10329506,302.602048902515
"Apatura ilia",8.38461538461539,"RO","VU",,,"Romania","EU",238392,19679306,488.254032241414
"Apatura ilia",8.38461538461539,"RS","LC","Serbia",1,"Serbia",,88361,8790574,297.255782113654
"Apatura ilia",8.38461538461539,"RU","No Red List available",,,"Russia",,3972400,,1993.08805625843
"Apatura ilia",8.38461538461539,"SI","VU","Slovenia",30,"Slovenia","EU",20273,2079976,142.383285535908
"Apatura ilia",8.38461538461539,"SK","LC","Slovakia",1,"Slovakia","EU",49036,5447662,221.440736992993
"Apatura ilia",8.38461538461539,"UA","LC","Ukraine",1,"Ukraine",,603628,44222947,776.935003716527
"Apatura iris",8.06666666666667,"AD","DD","Andorra",1,"Andorra",,468,76965,21.6333076527839
"Apatura iris",8.06666666666667,"AL","Unknown","Albania",1,"Albania",,28748,2930187,169.552351797314
"Apatura iris",8.06666666666667,"AT","LC","Austria",1,"Austria","EU",83858,8735453,289.58245803225
"Apatura iris",8.06666666666667,"BA","NT","Bosnia and Herzegovina",20,"Bosnia and Herzegovina",,51129,3507017,226.117226234535
"Apatura iris",8.06666666666667,"BE","LC","Belgium",1,"Belgium","EU",30528,11429336,174.722637342732
"Apatura iris",8.06666666666667,"BG","LC","Bulgaria",1,"Bulgaria","EU",110994,7084571,333.15762035409
"Apatura iris",8.06666666666667,"BY","Unknown","Belarus",1,"Belarus",,207600,9468338,455.631429995781
"Apatura iris",8.06666666666667,"CH","NT","Switzerland",20,"Switzerland",,41290,8476005,203.199409447961
"Apatura iris",8.06666666666667,"CZ","NE","Czech Republic",1,"Czech Republic","EU",78866,10618303,280.830909979653
"Apatura iris",8.06666666666667,"DE","NT","Germany",20,"Germany","EU",357168,82114224,597.6353403205
"Apatura iris",8.06666666666667,"DK","LC","Denmark",1,"Denmark","EU",44493,5733551,210.93363885355
"Apatura iris",8.06666666666667,"EE","LC","Estonia",1,"Estonia","EU",45339,1309632,212.92956581931
"Apatura iris",8.06666666666667,"ES","NE","Spain",1,"Spain","EU",498468,46354321,706.022662525786
"Apatura iris",8.06666666666667,"FI","LC","Finland",1,"Finland","EU",338145,5523231,581.502364569569
"Apatura iris",8.06666666666667,"FR","LC","France",1,"France","EU",551394,64979548,742.559088557941
"Apatura iris",8.06666666666667,"GB","NT","United Kingdom",20,"United Kingdom","EU",244820,66181585,494.79288596341
"Apatura iris",8.06666666666667,"GR","LC","Greece",1,"Greece","EU",131940,11159773,363.235460823967
"Apatura iris",8.06666666666667,"HR","NT","Croatia",20,"Croatia","EU",56594,4189353,237.894934792652
"Apatura iris",8.06666666666667,"HU","NT","Hungary",20,"Hungary","EU",93030,9721559,305.008196611173
"Apatura iris",8.06666666666667,"IT","LC","Italy",1,"Italy","EU",301318,59359900,548.924402809713
"Apatura iris",8.06666666666667,"LI","No Red List available",,,"Liechtenstein",,160,37922,12.6491106406735
"Apatura iris",8.06666666666667,"LT","LC","Lithuania",1,"Lithuania","EU",65300,2890297,255.538646783613
"Apatura iris",8.06666666666667,"LU","LC","Luxembourg",1,"Luxembourg","EU",2428,583455,49.2747399790197
"Apatura iris",8.06666666666667,"LV","No Red List available",,,"Latvia","EU",64589,1949670,254.143660160941
"Apatura iris",8.06666666666667,"ME","No Red List available",,,"Montenegro",,13812,628960,117.524465538032
"Apatura iris",8.06666666666667,"MK","Unknown","Macedonia",1,"Macedonia",,25713,2083160,160.352736178713
"Apatura iris",8.06666666666667,"NL","CR","Netherlands",80,"Netherlands","EU",41198,17035938,202.972904595663
"Apatura iris",8.06666666666667,"PL","NT","Poland",20,"Poland","EU",312685,38170712,559.182438923112
"Apatura iris",8.06666666666667,"PT","No Red List available",,,"Portugal","EU",91568,10329506,302.602048902515
"Apatura iris",8.06666666666667,"RO","VU",,,"Romania","EU",238392,19679306,488.254032241414
"Apatura iris",8.06666666666667,"RS","LC","Serbia",1,"Serbia",,88361,8790574,297.255782113654
"Apatura iris",8.06666666666667,"RU","No Red List available",,,"Russia",,3972400,,1993.08805625843
"Apatura iris",8.06666666666667,"SE","LC","Sweden",1,"Sweden","EU",449964,9910701,670.793559897529
"Apatura iris",8.06666666666667,"SI","LC","Slovenia",1,"Slovenia","EU",20273,2079976,142.383285535908
"Apatura iris",8.06666666666667,"SK","LC","Slovakia",1,"Slovakia","EU",49036,5447662,221.440736992993
"Apatura iris",8.06666666666667,"UA","LC","Ukraine",1,"Ukraine",,603628,44222947,776.935003716527
"Apatura metis",14.5,"AL","Unknown","Albania",1,"Albania",,28748,2930187,169.552351797314
"Apatura metis",14.5,"AT","DD","Austria",1,"Austria","EU",83858,8735453,289.58245803225
"Apatura metis",14.5,"BA","NT","Bosnia and Herzegovina",20,"Bosnia and Herzegovina",,51129,3507017,226.117226234535
"Apatura metis",14.5,"BG","LC","Bulgaria",1,"Bulgaria","EU",110994,7084571,333.15762035409
"Apatura metis",14.5,"GR","LC","Greece",1,"Greece","EU",131940,11159773,363.235460823967
"Apatura metis",14.5,"HR","VU","Croatia",30,"Croatia","EU",56594,4189353,237.894934792652
"Apatura metis",14.5,"HU","VU","Hungary",30,"Hungary","EU",93030,9721559,305.008196611173
"Apatura metis",14.5,"MD","No Red List available",,,"Moldova",,33846,4051212,183.97282408008
"Apatura metis",14.5,"ME","No Red List available",,,"Montenegro",,13812,628960,117.524465538032
"Apatura metis",14.5,"RO","VU",,,"Romania","EU",238392,19679306,488.254032241414
"Apatura metis",14.5,"RS","VU","Serbia",30,"Serbia",,88361,8790574,297.255782113654
"Apatura metis",14.5,"RU","No Red List available",,,"Russia",,3972400,,1993.08805625843
"Apatura metis",14.5,"SK","DD","Slovakia",1,"Slovakia","EU",49036,5447662,221.440736992993
"Apatura metis",14.5,"UA","VU","Ukraine",30,"Ukraine",,603628,44222947,776.935003716527
"Aphantopus hyperantus",1.90625,"AD","VU","Andorra",30,"Andorra",,468,76965,21.6333076527839
"Aphantopus hyperantus",1.90625,"AL","Unknown","Albania",1,"Albania",,28748,2930187,169.552351797314
"Aphantopus hyperantus",1.90625,"AT","LC","Austria",1,"Austria","EU",83858,8735453,289.58245803225
"Aphantopus hyperantus",1.90625,"BA","LC","Bosnia and Herzegovina",1,"Bosnia and Herzegovina",,51129,3507017,226.117226234535
