"scientificName","taxonID","countryCode","establishmentMeans","source"
"Pseudophilotes bavius","red-lists-european-butterflies-checklist:taxon:022fa64e81828144746f4386c4ed4098","BG","Breeding","Hristova and Beshkov (2017)"
"Hipparchia cypriensis","red-lists-european-butterflies-checklist:taxon:0235c8803f87b678d0e7fea75d9c74f7","CY","Breeding",
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","LU","Breeding","Mestdagh et al. (2018)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","BE","Breeding","Fichefet et al. (2008); Maes et al. (2012)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","DK","Breeding","Wind & Phil (2004)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","NL","Breeding","Bos et al. (2006)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","AD","Breeding","Dantart & Jubany (2012)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","AT","Breeding","Zulka et al. 2003; Höttinger and Pennerstorfer (2005)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","BA","Breeding","Ðug (2013)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","BG","Breeding","Hristova and Beshkov (2017)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","CH","Breeding","Wermeille et al. (2014)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","EE","Breeding","Anu Tiitsaar (pers.comm.)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","FR","Breeding","UICN France (2012)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","GR","Breeding","Pamperis (2009); Legakis and Maragou (2009)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","HR","Breeding","Šašic et al. (2015a)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","HU","Breeding","Ádám Korösi & Ádám Gór (pers. comm.)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","IT","Breeding","Bonelli et al. (in press)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","LT","Breeding","Rašomavicius (2007)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","NO","Breeding","Henriksen & Hilmo (2015)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","PL","Breeding","Glowaciñski (2002); Sielezniew (pers. Comm)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","RO","Breeding","Rakosy (2002)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","RS","Breeding","Jakšic (2003); Popovic et al. (2017)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","SI","Breeding","Anonymous (2002); Verovnik et al. (2012)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","SK","Breeding","Hernik Kalivoda (pers. comm.)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","ES","Breeding","Verdú & Galante (2009); Verdú et al. (2011)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","LI","Breeding",
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","LV","Breeding",
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","MD","Breeding",
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","ME","Breeding",
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","PT","Breeding",
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","RU","Breeding","Iliashenko & Iliashenko (2000); Danilov-Danilian (2001)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","GB","Breeding","Fox et al. (2011)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","SE","Breeding","Ahrné et al. (2015)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","UA","Breeding","Popov & Geryak (pers. comm.)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","BY","Breeding","Kulak & Yakovlev (2018)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","MK","Breeding","Krpac & Darcemont (2011)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","CZ","Breeding","Beneš and Konvicka (2017)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","DE","Breeding","Reinhardt & Bolz (2011)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","FI","Breeding","Kaitila et al. (2010)"
"Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","AL","Breeding","Anonymous (2013)"
"Coenonympha hero","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","BY","Breeding","Kulak & Yakovlev (2018)"
"Coenonympha hero","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","UA","Breeding","Popov & Geryak (pers. comm.)"
"Coenonympha hero","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","CH","Breeding","Wermeille et al. (2014)"
"Coenonympha hero","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","FR","Breeding","UICN France (2012)"
"Coenonympha hero","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","AT","Breeding","Zulka et al. 2003; Höttinger and Pennerstorfer (2005)"
"Coenonympha hero","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","DE","Breeding","Reinhardt & Bolz (2011)"
"Coenonympha hero","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","NO","Breeding","Henriksen & Hilmo (2015)"
"Coenonympha hero","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","PL","Breeding","Glowaciñski (2002); Sielezniew (pers. Comm)"
"Coenonympha hero","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","SK","Breeding","Hernik Kalivoda (pers. comm.)"
"Coenonympha hero","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","EE","Breeding","Anu Tiitsaar (pers.comm.)"
"Coenonympha hero","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","LV","Breeding",
"Coenonympha hero","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","SE","Breeding","Ahrné et al. (2015)"
"Coenonympha hero","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","BE","Breeding","Fichefet et al. (2008); Maes et al. (2012)"
"Coenonympha hero","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","CZ","Breeding","Beneš and Konvicka (2017)"
"Coenonympha hero","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","DK","Breeding","Wind & Phil (2004)"
"Coenonympha hero","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","NL","Breeding","Bos et al. (2006)"
"Coenonympha hero","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","LT","Breeding","Rašomavicius (2007)"
