"raw_speciesname_local","raw_speciesname_europe","taxonID","language","license","rightsHolder","datasetID","datasetName","nomenclaturalCode"
"Fixsenia pruni","Satyrium pruni","species-lists-red-list-butterflies:taxon:15fb7d16640d99dfc170cd070797e12c","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Lasiommata paramegaera","Lasiommata paramegaera","species-lists-red-list-butterflies:taxon:16b373ec68abf40b384888c0b347b242","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Agrodiaetus damon","Polyommatus damon","species-lists-red-list-butterflies:taxon:16f7a4e3425f82458faad02f79cb9283","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Boloria polaris","Boloria polaris","species-lists-red-list-butterflies:taxon:175b857761567fcb5e104c6fcee186b0","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Argynnis niobe","Fabriciana niobe","species-lists-red-list-butterflies:taxon:175bb679d6b894655042c50f43ff95bc","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Plebeius admetus","Polyommatus admetus","species-lists-red-list-butterflies:taxon:1767e648c84e8d26b72079a003a3cb51","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Vanessa virginiensis","Vanessa virginiensis","species-lists-red-list-butterflies:taxon:177ee2600cf35af8b6f6919ce13cdbc9","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Polyommatus damocles","Polyommatus damocles","species-lists-red-list-butterflies:taxon:179938cb9f5a5285fcffa362e66e29dc","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Kretania sephirus","Kretania sephirus","species-lists-red-list-butterflies:taxon:17ad308f86bba9fe2353d109ce6b18ce","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Melitaea cinxia","Melitaea cinxia","species-lists-red-list-butterflies:taxon:17e58c5f0e9ebb5edf58dad0fcedd67d","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
