"raw_speciesname_local","scientificName","taxonID","raw_use","references","raw_reference_red_list","raw_country","language","license","rightsHolder","datasetID","datasetName","nomenclaturalCode","kingdom","class","order"
"Boloria chariclea","Boloria chariclea","red-lists-european-butterflies-checklist:taxon:41977a3b36ab409deb87b977c5e397d7","y","Aarvik et al. (2017)","Henriksen & Hilmo (2015)","Norway","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Erebia styx","Erebia styx","red-lists-european-butterflies-checklist:taxon:41a8cc2dd0a6f60a89bda3d694dc0b05","y","Huemer (2013); Huemer & Wiesmair (2017)","Zulka et al. 2003; Höttinger and Pennerstorfer (2005)","Austria","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Pieris daplidice","Pontia daplidice","red-lists-european-butterflies-checklist:taxon:41fe87fb17246df90582d7f805a53a76","y","Balletto et al. (2014)","Bonelli et al. (in press)","Italy","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Lycaena dispar","Lycaena dispar","red-lists-european-butterflies-checklist:taxon:4249fd8e29661a93a7dcf723a185f9a0","y","Kuchlein and de Vos (1999); van Swaay (2018)","Bos et al. (2006)","Netherlands","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Lycaena alciphron","Lycaena alciphron","red-lists-european-butterflies-checklist:taxon:425a7170ed833387137e19c8442e0d40","y","Huemer (2013); Huemer & Wiesmair (2017)","Zulka et al. 2003; Höttinger and Pennerstorfer (2005)","Austria","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Plebeius loewii","Plebejidea loewii","red-lists-european-butterflies-checklist:taxon:42b4843b1146f685542ff9933d4d33f0","y","Pamperis (2009)","Pamperis (2009); Legakis and Maragou (2009)","Greece","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Apatura metis","Apatura metis","red-lists-european-butterflies-checklist:taxon:4329becfd5d68a3f8318bc5ba986f500","y","Pastorális et al. (2013)","Hernik Kalivoda (pers. comm.)","Slovakia","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Pieris napi","Pieris napi","red-lists-european-butterflies-checklist:taxon:432d3a671872ca37aff6f414590cb44e","y","Dantart & Jubany (2012)","Dantart & Jubany (2012)","Andorra","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Parnassius phoebus","Parnassius phoebus","red-lists-european-butterflies-checklist:taxon:4330b616b84a39a61c2b9ea6a2deec1d","y","Sonderegger (2005); SwissLepTeam (2010); Wermeille et al. (2014)","Wermeille et al. (2014)","Switzerland","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Hipparchia leighebi","Hipparchia leighebi","red-lists-european-butterflies-checklist:taxon:4516ec57b39437751d1bca7cfd02d4b9","y","Balletto et al. (2014)","Bonelli et al. (in press)","Italy","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Colias palaeno","Colias palaeno","red-lists-european-butterflies-checklist:taxon:451fc375763fb13430ded0838761b9aa","y","Pastorális et al. (2013)","Hernik Kalivoda (pers. comm.)","Slovakia","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Pararge xiphioides","Pararge xiphioides","red-lists-european-butterflies-checklist:taxon:456df73a5144d61c4c41981bf3d60950","y","Tennent (2005); Báez and Oromí (2010); Wiemers (pers. comm.)",,"Macaronesia_CanaryIslands","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Erynnis tages","Erynnis tages","red-lists-european-butterflies-checklist:taxon:457198d5b7db1e378133ea4728a49452","y","Kuchlein and de Vos (1999); van Swaay (2018)","Bos et al. (2006)","Netherlands","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
