"usageKey","scientificName","rank","order","matchType","phylum","kingdom","genus","class","confidence","synonym","status","family","scientificNameLocal","scientificNameEU","license","rightsHolder","accessRights","datasetName","occurrencestatus","language","datasetID","kingdom1","phylum1","class1"
1920218,"Aporia crataegi L.","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aporia","Insecta",98,FALSE,"ACCEPTED","Pieridae","Aporia crataegi","Aporia crataegi","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1902533,"Araschnia levana (Linnaeus, 1758)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Araschnia","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Araschnia levana","Araschnia levana","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1936969,"Archon apollinus (Herbst, 1798)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Archon","Insecta",98,FALSE,"ACCEPTED","Papilionidae","Archon apollinus","Archon apollinus","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1893137,"Arethusana arethusa (Denis & Schiffermuller, 1775)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Arethusana","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Arethusana arethusa","Arethusana arethusa","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
4535434,"Argynnis adippe (Denis & Schiffermuller, 1775)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Argynnis","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Argynnis adippe","Argynnis adippe","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
4535447,"Argynnis aglaja (Linnaeus, 1758)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Argynnis","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Argynnis aglaja","Argynnis aglaja","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
4535433,"Argynnis elisa Godart, 1823","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Argynnis","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Argynnis elisa","Argynnis elisa","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
4535445,"Argynnis laodice (Pallas, 1771)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Argynnis","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Argynnis laodice","Argynnis laodice","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
4535439,"Argynnis niobe (Linnaeus, 1758)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Argynnis","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Argynnis niobe","Argynnis niobe","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
7810861,"Argynnis pandora (Denis & Schiffermuller, 1775)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Argynnis","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Argynnis pandora","Argynnis pandora","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1909398,"Argynnis paphia (Linnaeus, 1758)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Argynnis","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Argynnis paphia","Argynnis paphia","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1933138,"Aricia artaxerxes (Fabricius, 1793)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aricia","Insecta",98,FALSE,"ACCEPTED","Lycaenidae","Aricia (artaxerxes) montensis","Aricia artaxerxes","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
