scientific_name,status,endemic,rlc,rlc_numeric,rlc_eur,rlc_eu27,country_code,country_name,part_of_eu,area
Cupido osiris,P,,VU,30,LC,LC,AL,Albania,,28748
Cupido osiris,P,,CR,80,LC,LC,AT,Austria,y,83858
Cupido osiris,P,,NT,20,LC,LC,BA,Bosnia and Herzegovina,,51129
Cupido osiris,P,,LC,1,LC,LC,BG,Bulgaria,y,110994
Cupido osiris,P,,EN,50,LC,LC,CH,Switzerland,,41290
Cupido osiris,Ex,,RE,100,LC,LC,DE,Germany,y,357168
Cupido osiris,P,,NE,,LC,LC,ES,Spain,y,498468
Cupido osiris,P,,LC,1,LC,LC,FR,France,y,551394
Cupido osiris,P,,LC,1,LC,LC,GR,Greece,y,131940
Cupido osiris,P,,LC,1,LC,LC,HR,Croatia,y,56594
Cupido osiris,P,,EN,50,LC,LC,HU,Hungary,y,93030
Cupido osiris,P,,LC,1,LC,LC,IT,Italy,y,301318
Cupido osiris,P,,NRLA,,LC,LC,MD,Moldova,,33846
Cupido osiris,P,,NRLA,,LC,LC,ME,Montenegro,,13812
Cupido osiris,P,,Unknown,1,LC,LC,MK,North Macedonia,,25713
Cupido osiris,P,,VU,30,LC,LC,RO,Romania,y,238392
Cupido osiris,P,,LC,1,LC,LC,RS,Serbia,,88361
Cupido osiris,P,,NRLA,,LC,LC,RU,Russia,,3972400
Cupido osiris,P,,EN,50,LC,LC,SI,Slovenia,y,20273
Cupido osiris,P,,VU,30,LC,LC,SK,Slovakia,y,49036
Cupido osiris,P,,VU,,LC,LC,UA,Ukraine,,603628
Cyaniris semiargus,P,,LC,1,LC,LC,AD,Andorra,,468
Cyaniris semiargus,P,,Unknown,1,LC,LC,AL,Albania,,28748
Cyaniris semiargus,P,,LC,1,LC,LC,AT,Austria,y,83858
Cyaniris semiargus,P,,LC,1,LC,LC,BA,Bosnia and Herzegovina,,51129
Cyaniris semiargus,P,,NT,20,LC,LC,BE,Belgium,y,30528
Cyaniris semiargus,P,,LC,1,LC,LC,BG,Bulgaria,y,110994
Cyaniris semiargus,P,,Unknown,1,LC,LC,BY,Belarus,,207600
Cyaniris semiargus,P,,LC,1,LC,LC,CH,Switzerland,,41290
Cyaniris semiargus,P,,VU,30,LC,LC,CZ,Czech Republic,y,78866
Cyaniris semiargus,P,,LC,1,LC,LC,DE,Germany,y,357168
Cyaniris semiargus,P,,VU,30,LC,LC,DK,Denmark,y,44493
Cyaniris semiargus,P,,LC,,LC,LC,EE,Estonia,y,45339
Cyaniris semiargus,P,,NE,,LC,LC,ES,Spain,y,498468
Cyaniris semiargus,P,,LC,1,LC,LC,FI,Finland,y,338145
Cyaniris semiargus,P,,LC,1,LC,LC,FR,France,y,551394
Cyaniris semiargus,Ex,,RE,100,LC,LC,GB,United Kingdom,y,244820
Cyaniris semiargus,P,,LC,1,LC,LC,GR,Greece,y,131940
Cyaniris semiargus,P,,LC,1,LC,LC,HR,Croatia,y,56594
Cyaniris semiargus,P,,LC,1,LC,LC,HU,Hungary,y,93030
Cyaniris semiargus,P,,LC,1,LC,LC,IT,Italy,y,301318
Cyaniris semiargus,P,,NRLA,,LC,LC,LI,Liechtenstein,,160
Cyaniris semiargus,P,,LC,,LC,LC,LT,Lithuania,y,65300
Cyaniris semiargus,P,,LC,1,LC,LC,LU,Luxembourg,y,2428
Cyaniris semiargus,P,,NRLA,,LC,LC,LV,Latvia,y,64589
Cyaniris semiargus,P,,NRLA,,LC,LC,MD,Moldova,,33846
Cyaniris semiargus,P,,NRLA,,LC,LC,ME,Montenegro,,13812
Cyaniris semiargus,P,,Unknown,1,LC,LC,MK,North Macedonia,,25713
Cyaniris semiargus,P,,RE,100,LC,LC,NL,Netherlands,y,41198
Cyaniris semiargus,P,,LC,1,LC,LC,NO,Norway,,385178
Cyaniris semiargus,P,,LC,1,LC,LC,PL,Poland,y,312685
Cyaniris semiargus,P,,NRLA,,LC,LC,PT,Portugal,y,91568
Cyaniris semiargus,P,,LC,1,LC,LC,RO,Romania,y,238392
Cyaniris semiargus,P,,LC,1,LC,LC,RS,Serbia,,88361
Cyaniris semiargus,P,,NRLA,,LC,LC,RU,Russia,,3972400
Cyaniris semiargus,P,,LC,1,LC,LC,SE,Sweden,y,449964
Cyaniris semiargus,P,,LC,1,LC,LC,SI,Slovenia,y,20273
Cyaniris semiargus,P,,LC,1,LC,LC,SK,Slovakia,y,49036
Cyaniris semiargus,P,,LC,,LC,LC,UA,Ukraine,,603628
Cyclyrius webbianus,P,MA_CA,NRLA,,LC,LC,MA_CA,Spain,y,
Danaus chrysippus,M,,NT,20,,,AL,Albania,,28748
Danaus chrysippus,M,,NRLA,,,,CY,Cyprus,y,9251
Danaus chrysippus,P,,NE,,,,ES,Spain,y,498468
Danaus chrysippus,P,,LC,1,,,FR,France,y,551394
Danaus chrysippus,M,,LC,1,,,GR,Greece,y,131940
Danaus chrysippus,M,,NtA,,,,HR,Croatia,y,56594
Danaus chrysippus,P,,LC,1,,,IT,Italy,y,301318
Danaus chrysippus,P,,NRLA,,,,MA_CA,Spain,y,
Danaus chrysippus,M,,NRLA,,,,MT,Malta,y,316
Danaus plexippus,P,,NE,,,,ES,Spain,y,498468
Danaus plexippus,P,,NRLA,,,,MA_AZ,Portugal,y,
Danaus plexippus,P,,NRLA,,,,MA_CA,Spain,y,
Danaus plexippus,P,,NRLA,,,,MA_MA,Portugal,y,
Erebia aethiopella,P,,LC,1,LC,LC,FR,France,y,551394
Erebia aethiopella,P,,LC,1,LC,LC,IT,Italy,y,301318
Erebia aethiops,P,,VU,30,LC,LC,AL,Albania,,28748
Erebia aethiops,P,,LC,1,LC,LC,AT,Austria,y,83858
Erebia aethiops,P,,LC,1,LC,LC,BA,Bosnia and Herzegovina,,51129
Erebia aethiops,P,,CR,80,LC,LC,BE,Belgium,y,30528
Erebia aethiops,P,,LC,1,LC,LC,BG,Bulgaria,y,110994
Erebia aethiops,P,,EN,50,LC,LC,BY,Belarus,,207600
Erebia aethiops,P,,LC,1,LC,LC,CH,Switzerland,,41290
Erebia aethiops,P,,EN,50,LC,LC,CZ,Czech Republic,y,78866
Erebia aethiops,P,,VU,30,LC,LC,DE,Germany,y,357168
Erebia aethiops,P,,LC,1,LC,LC,FR,France,y,551394
Erebia aethiops,P,,LC,1,LC,LC,GB,United Kingdom,y,244820
Erebia aethiops,P,,VU,30,LC,LC,GR,Greece,y,131940
Erebia aethiops,P,,LC,1,LC,LC,HR,Croatia,y,56594
Erebia aethiops,P,,EN,50,LC,LC,HU,Hungary,y,93030
Erebia aethiops,P,,LC,1,LC,LC,IT,Italy,y,301318
Erebia aethiops,P,,NRLA,,LC,LC,LI,Liechtenstein,,160
Erebia aethiops,P,,DD,1,LC,LC,LT,Lithuania,y,65300
Erebia aethiops,P,,NRLA,,LC,LC,LV,Latvia,y,64589
Erebia aethiops,P,,NRLA,,LC,LC,ME,Montenegro,,13812
Erebia aethiops,P,,NT,20,LC,LC,MK,North Macedonia,,25713
Erebia aethiops,P,,NT,20,LC,LC,PL,Poland,y,312685
Erebia aethiops,P,,LC,1,LC,LC,RO,Romania,y,238392
Erebia aethiops,P,,LC,1,LC,LC,RS,Serbia,,88361
Erebia aethiops,P,,NRLA,,LC,LC,RU,Russia,,3972400
Erebia aethiops,P,,LC,1,LC,LC,SI,Slovenia,y,20273
Erebia aethiops,P,,LC,1,LC,LC,SK,Slovakia,y,49036
Erebia aethiops,P,,LC,,LC,LC,UA,Ukraine,,603628
Erebia albergana,P,,NT,20,LC,LC,AT,Austria,y,83858
Erebia albergana,P,,VU,30,LC,LC,BG,Bulgaria,y,110994
Erebia albergana,P,,LC,1,LC,LC,CH,Switzerland,,41290
Erebia albergana,P,,LC,1,LC,LC,FR,France,y,551394
