"usageKey","scientificName","rank","matchType","kingdom","phylum","class","order","family","genus","confidence","synonym","status","SpeciesnameLocal","SpeciesnameEurope","CountryCode","RedListCategory","Status","Use","Comments"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","NL","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","NO","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","PL","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","RS","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","SE","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","SI","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","SK","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","UA","LC","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","CZ","NE","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","ES","NE","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","LI","No Red List available","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","LV","No Red List available","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","MD","No Red List available","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","ME","No Red List available","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","PT","No Red List available","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","RU","No Red List available","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","RO","NT","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","BY","Unknown","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","MK","Unknown","Breeding","y",
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","AL","Unknown","Breeding","y","o"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","MT","No Red List available",,"n","Occurrence questionable"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Aglais urticae","IS","No Red List available","Introduced","n","Only introduced"
1926099,"Agriades aquilo (Boisduval, 1932)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus",98,TRUE,"SYNONYM","Agriades aquilo","Agriades aquilo","NO","LC","Breeding","y",
1926099,"Agriades aquilo (Boisduval, 1932)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus",98,TRUE,"SYNONYM","Agriades aquilo","Agriades aquilo","RU","No Red List available","Breeding","y",
5138629,"Plebejus aquilo (Boisduval, 1832)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus",98,FALSE,"ACCEPTED","Plebejus aquilo","Agriades aquilo","FI","EN","Breeding","y",
5138629,"Plebejus aquilo (Boisduval, 1832)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus",98,FALSE,"ACCEPTED","Plebejus aquilo","Agriades aquilo","SE","NT","Breeding","y",
9200134,"Plebejus dardanus (Freyer, 1844)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus",98,FALSE,"ACCEPTED","Plebejus dardanus","Agriades dardanus","BG","EN","Breeding","y",
9200134,"Plebejus dardanus (Freyer, 1844)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus",98,FALSE,"ACCEPTED","Plebejus dardanus","Agriades dardanus","BA","VU","Breeding","y",
9200134,"Plebejus dardanus (Freyer, 1844)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus",98,FALSE,"ACCEPTED","Plebejus dardanus","Agriades dardanus","UA","VU","Breeding","y",
9200134,"Plebejus dardanus (Freyer, 1844)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus",98,FALSE,"ACCEPTED","Plebejus dardanus","Agriades dardanus","MK","VU",,"n","Absent according to Rudi Verovnik"
9200134,"Plebejus dardanus (Freyer, 1844)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus",98,FALSE,"ACCEPTED","Plebejus dardanus","Agriades dardanus","RU","No Red List available","Breeding","y","Addition Rudi Verovnik"
