"usageKey","scientificName","rank","matchType","kingdom","phylum","class","order","family","genus","confidence","synonym","status","SpeciesnameEurope","Family","Subfamily","PhylogeneticOrder","AuthorYear","Genus","Species","EnglishName","RedListCategoryEurope","RedListCategoryEU","HabitatsDirective","SPECstatus","EuropeanEndemic","EUEndemic","Endemic","EdgeOfRange","Comments"
1933204,"Aricia cramera Eschscholtz, 1821","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Aricia",98,FALSE,"ACCEPTED","Aricia cramera","Lycaenidae","Polyommatinae",214,"(Eschscholtz, 1821)","Aricia","cramera","Southern Brown Argus","LC","LC",,,,,,,
1933126,"Aricia montensis Verity, 1928","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Aricia",98,FALSE,"ACCEPTED","Aricia montensis","Lycaenidae","Polyommatinae",217,"Verity, 1928","Aricia","montensis","Southern Mountain Argus","LC","LC",,,,,,,
1933163,"Aricia morronensis Ribbe, 1910","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Aricia",98,FALSE,"ACCEPTED","Aricia morronensis","Lycaenidae","Polyommatinae",212,"(Ribbe, 1910)","Aricia","morronensis","Spanish Argus","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
7977706,"Aricia nicias (Meigen, 1830)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Aricia",98,FALSE,"ACCEPTED","Aricia nicias","Lycaenidae","Polyommatinae",215,"(Meigen, 1829)","Aricia","nicias","Silvery Argus","LC","LC",,,,,,,
1926546,"Azanus jesous (Guerin-Meneville, 1847)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Azanus",98,FALSE,"ACCEPTED","Azanus jesous","Lycaenidae","Polyommatinae",156,"(Guérin-Méneville, 1849)","Azanus","jesous","African Babul Blue",,,,,,,,"EoR",
1926550,"Azanus ubaldus (Stoll, 1782)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Azanus",98,FALSE,"ACCEPTED","Azanus ubaldus","Lycaenidae","Polyommatinae",155,"(Stoll, 1782)","Azanus","ubaldus","Bright Babul Blue","NtA","NtA",,,,,,"EoR",
1912428,"Boloria alaskensis (Holland, 1900)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria alaskensis","Nymphalidae","Heliconiinae",271,"(Holland, 1900)","Boloria","alaskensis","suggestion: Alaskan Fritillary","NtA","NtA",,,,,,"EoR",
9198045,"Boloria angarensis (Erschoff, 1870)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria angarensis","Nymphalidae","Heliconiinae",287,"(Erschoff, 1870)","Boloria","angarensis","suggestion: XX Fritillary","NtA","NtA",,,,,,,
1912372,"Boloria aquilonaris (Stichel, 1908)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria aquilonaris","Nymphalidae","Heliconiinae",273,"(Stichel, 1908)","Boloria","aquilonaris","Cranberry Fritillary","LC","LC",,,,,,,
4299565,"Boloria chariclea (Schneider, 1794)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria chariclea","Nymphalidae","Heliconiinae",286,"(Schneider, 1794)","Boloria","chariclea","Arctic Fritillary","NT","NT",,"SPEC2",,,,,
5772890,"Boloria dia (Linnaeus, 1767)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria dia","Nymphalidae","Heliconiinae",279,"(Linnaeus, 1767)","Boloria","dia","Weaver's Fritillary","LC","LC",,,,,,,
4299535,"Boloria eunomia (Esper, 1799)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria eunomia","Nymphalidae","Heliconiinae",268,"(Esper, 1800)","Boloria","eunomia","Bog Fritillary","LC","LC",,,,,,,
5772893,"Boloria euphrosyne (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria euphrosyne","Nymphalidae","Heliconiinae",278,"(Linnaeus, 1758)","Boloria","euphrosyne","Pearl-bordered Fritillary","LC","LC",,,,,,,
4299599,"Boloria freija (Becklin, 1791)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria freija","Nymphalidae","Heliconiinae",282,"(Thunberg, 1791)","Boloria","freija","Freiya's Fritillary","LC","LC",,"SPEC3",,,,,
4299576,"Boloria frigga (Becklin, 1791)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria frigga","Nymphalidae","Heliconiinae",281,"(Thunberg, 1791)","Boloria","frigga","Frigga's Fritillary","LC","LC",,"SPEC4",,,,,
1912395,"Boloria graeca (Staudinger, 1870)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria graeca","Nymphalidae","Heliconiinae",269,"(Staudinger, 1870)","Boloria","graeca","Balkan Fritillary","LC","LC",,,,,,,
4299581,"Boloria improba (Butler, 1877)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria improba","Nymphalidae","Heliconiinae",280,"(Butler, 1877)","Boloria","improba","Dusky-winged Fritillary","EN","EN","II","SPEC1",,,,,
1912470,"Boloria napaea (Hoffmannsegg, 1804)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria napaea","Nymphalidae","Heliconiinae",272,"(Hoffmansegg, 1804)","Boloria","napaea","Mountain Fritillary","LC","LC",,,,,,,
9197658,"Boloria oscarus (Eversmann, 1844)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria oscarus","Nymphalidae","Heliconiinae",284,"(Eversmann, 1844)","Boloria","oscarus","suggestion: Oscar's Fritillary","NtA","NtA",,,,,,"EoR",
1912410,"Boloria pales (Denis & Schiffermuller, 1775)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria pales","Nymphalidae","Heliconiinae",270,"([Denis & Schiffermüller], 1775)","Boloria","pales","Shepherd's Fritillary","LC","LC",,,,,,,
4299553,"Boloria polaris (Boisduval, 1828)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria polaris","Nymphalidae","Heliconiinae",275,"(Boisduval, 1828)","Boloria","polaris","Polar Fritillary","VU","VU",,"SPEC1",,,,,
1912325,"Boloria selene (Denis & Schiffermuller, 1775)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria selene","Nymphalidae","Heliconiinae",277,"([Denis & Schiffermüller], 1775)","Boloria","selene","Small Pearl-bordered Fritillary","LC","LC",,,,,,,
8737366,"Boloria selenis (Eversmann, 1837)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria selenis","Nymphalidae","Heliconiinae",283,"(Eversmann, 1837)","Boloria","selenis","suggestion: XX Fritillary","LC","NE",,,,,,,
7428726,"Boloria thore (Hubner, 1803)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria thore","Nymphalidae","Heliconiinae",276,"(Hübner, 1804)","Boloria","thore","Thor's Fritillary","LC","LC",,,,,,,
4299597,"Boloria titania (Esper, 1793)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria titania","Nymphalidae","Heliconiinae",285,"(Esper, 1793)","Boloria","titania","Titania's Fritillary","NT","LC",,"SPEC2",,,,,
9041405,"Boloria tritonia (Bober, 1812)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria",98,FALSE,"ACCEPTED","Boloria tritonia","Nymphalidae","Heliconiinae",274,"(Böber, 1812)","Boloria","tritonia","suggestion: XX Fritillary","NtA","NtA",,,,,,"EoR",
1946661,"Borbo borbonica (Boisduval, 1833)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Borbo",98,FALSE,"ACCEPTED","Borbo borbonica","Hesperiidae","Hesperiinae",20,"(Boisduval, 1833)","Borbo","borbonica","Zeller's Skipper","NtA","NtA",,,,,,,
1902791,"Brenthis daphne (Bergstrasser, 1780)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Brenthis",98,FALSE,"ACCEPTED","Brenthis daphne","Nymphalidae","Heliconiinae",260,"(Bergsträsser, 1780)","Brenthis","daphne","Marbled Fritillary","LC","LC",,,,,,,
