"usageKey","scientificName","rank","scientificNameLocal","scientificNameEU","CountryCode","threatStatus","Endemic","occurrenceStatus","taxonID"
8020665,"Agriades optilete (Knoch, 1781), 2012","SPECIES","Agriades optilete","Agriades optilete","LT","Unknown","","present","8020665:a0ab5f0820761d4e3e8792c72862d16d"
8020665,"Agriades optilete (Knoch, 1781), 2012","SPECIES","Agriades optilete","Agriades optilete","LV","No Red List available","","present","8020665:a0ab5f0820761d4e3e8792c72862d16d"
8020665,"Agriades optilete (Knoch, 1781), 2012","SPECIES","Agriades optilete","Agriades optilete","NO","LC","","present","8020665:a0ab5f0820761d4e3e8792c72862d16d"
8020665,"Agriades optilete (Knoch, 1781), 2012","SPECIES","Agriades optilete","Agriades optilete","UA","No Red List available","","present","8020665:a0ab5f0820761d4e3e8792c72862d16d"
7601222,"Agriades orbitulus (Prunner, 1798), 2012","SPECIES","Agriades orbitulus","Agriades orbitulus","NO","LC","","present","7601222:70fe2b70351f3d1f56d1fa2b8b837157"
9467126,"Agriades pyrenaica (Boisduval, 1840)","SPECIES","Agriades pyrenaicus","Agriades pyrenaicus","ES","Unknown","","present","9467126:2d47ba18cd8d4105d46923736028dae2"
9467126,"Agriades pyrenaica (Boisduval, 1840)","SPECIES","Agriades pyrenaicus","Agriades pyrenaicus","FR","LC","","present","9467126:2d47ba18cd8d4105d46923736028dae2"
1926102,"Agriades zullichi Hemming, 1933","SPECIES","Agriades zullichi","Agriades zullichi","ES","EN","Endemic (Spain)","present","1926102:5cce97a359db8e91c48faf50867d5f6c"
7484070,"Polyommatus damon (Denis & Schiffermuller, 1775)","SPECIES","Agrodiaetus damon","Polyommatus damon","ES","Unknown","","present","7484070:d96d8459b9cfb36ff9166351900a6a9e"
7484070,"Polyommatus damon (Denis & Schiffermuller, 1775)","SPECIES","Agrodiaetus damon","Polyommatus damon","LI","No Red List available","","present","7484070:d96d8459b9cfb36ff9166351900a6a9e"
5772749,"Polyommatus fabressei (Oberthur, 1910)","SPECIES","Agrodiaetus fabressei","Polyommatus fabressei","ES","Unknown","Endemic (Spain)","present","5772749:2fa870cd1efce41f0e0976ca5ced4d6e"
5772736,"Polyommatus fulgens (De Sagarra, 1925)","SPECIES","Agrodiaetus fulgens","Polyommatus fulgens","ES","Unknown","Endemic (Spain)","present","5772736:eac00fd369089871edfbcc465c837ee4"
7664111,"Polyommatus ripartii (Freyer, 1830)","SPECIES","Agrodiaetus ripartii","Polyommatus ripartii","ES","Unknown","","present","7664111:3ac5913b3e8b49f22ef09346fee23151"
5772727,"Polyommatus violetae (Gomez-Bustillo, Exposito & Martinez, 1979)","SPECIES","Agrodiaetus violetae","Polyommatus violetae","ES","Unknown","Endemic (Spain)","present","5772727:939e5c0b278313eea45f6173e83f536d"
8020665,"Agriades optilete (Knoch, 1781), 2012","SPECIES","Albulina optilete","Agriades optilete","IT","LC","","present","8020665:a0ab5f0820761d4e3e8792c72862d16d"
7601222,"Agriades orbitulus (Prunner, 1798), 2012","SPECIES","Albulina orbitulus","Agriades orbitulus","FR","LC","","present","7601222:70fe2b70351f3d1f56d1fa2b8b837157"
7601222,"Agriades orbitulus (Prunner, 1798), 2012","SPECIES","Albulina orbitulus","Agriades orbitulus","IT","LC","","present","7601222:70fe2b70351f3d1f56d1fa2b8b837157"
7601222,"Agriades orbitulus (Prunner, 1798), 2012","SPECIES","Albulina orbitulus","Agriades orbitulus","LI","No Red List available","","present","7601222:70fe2b70351f3d1f56d1fa2b8b837157"
5141291,"Zerynthia cerisy (Godart, 1824)","SPECIES","Allancastria cerisyi","Zerynthia cerisy","CY","No Red List available","","present","5141291:e8f3c68524c45cefffdb125a7a1ead9d"
5141291,"Zerynthia cerisy (Godart, 1824)","SPECIES","Allancastria cerisyi","Zerynthia cerisy","GR","NT","","present","5141291:e8f3c68524c45cefffdb125a7a1ead9d"
