scientific_name,number_of_countries
Polyommatus admetus,12
Polyommatus amandus,32
Polyommatus aroaniensis,4
Polyommatus celina,5
Polyommatus damocles,2
Polyommatus damon,24
Polyommatus damone,2
Polyommatus daphnis,25
Polyommatus dolus,2
Polyommatus dorylas,27
Polyommatus eros,22
Polyommatus escheri,13
Polyommatus fabressei,1
Polyommatus fulgens,1
Polyommatus golgus,1
Polyommatus humedasae,1
Polyommatus icarus,40
Polyommatus iphigenia,1
Polyommatus nephohiptamenos,2
Polyommatus nivescens,1
Polyommatus orphicus,3
Polyommatus ripartii,13
Polyommatus thersites,26
Polyommatus timfristos,1
Polyommatus violetae,1
Pontia callidice,9
Pontia chloridice,6
Pontia daplidice,7
Pontia edusa,28
Praephilotes anthracias,1
Proterebia phegea,5
Pseudochazara amalthea,6
Pseudochazara amymone,2
Pseudochazara anthelea,2
Pseudochazara cingovskii,1
Pseudochazara euxina,1
Pseudochazara geyeri,3
Pseudochazara graeca,1
Pseudochazara mercurius,1
Pseudochazara orestes,2
Pseudochazara tisiphone,2
Pseudochazara williamsi,1
Pseudophilotes abencerragus,2
Pseudophilotes barbagiae,1
Pseudophilotes baton,11
Pseudophilotes bavius,7
Pseudophilotes panoptes,2
Pseudophilotes vicrama,26
Pyrgus alveus,33
Pyrgus andromedae,21
Pyrgus armoricanus,28
Pyrgus cacaliae,11
Pyrgus carlinae,4
Pyrgus carthami,26
Pyrgus centaureae,4
Pyrgus cinarae,8
Pyrgus cirsii,7
Pyrgus foulquieri,3
Pyrgus malvae,35
Pyrgus malvoides,11
Pyrgus onopordi,7
Pyrgus serratulae,33
Pyrgus sidae,15
Pyrgus warrenensis,6
Pyronia bathseba,3
Pyronia cecilia,7
Pyronia tithonus,28
Satyrium acaciae,25
Satyrium esculi,5
Satyrium ilicis,34
Satyrium ledereri,1
Satyrium pruni,32
Satyrium spini,28
Satyrium w-album,37
Satyrus actaea,5
Satyrus ferula,15
Satyrus virbius,2
Scolitantides orion,27
Speyeria aglaja,39
Spialia orbifer,16
Spialia phlomidis,5
Spialia rosae,1
Spialia sertorius,19
Spialia therapne,2
Tarucus balkanicus,8
Tarucus theophrastus,1
Thecla betulae,39
Thymelicus acteon,30
Thymelicus christi,1
Thymelicus hyrax,2
Thymelicus lineola,39
Thymelicus sylvestris,36
Tomares ballus,3
Tomares callimachus,2
Tomares nogelii,3
Tongeia fischeri,1
Turanana taygetica,1
Vanessa atalanta,45
Vanessa cardui,45
Vanessa virginiensis,2
Vanessa vulcania,2
Ypthima asterope,2
Zegris eupheme,3
Zegris pyrothoe,1
Zerynthia cassandra,1
Zerynthia caucasica,1
Zerynthia cerisy,9
Zerynthia cretica,1
Zerynthia polyxena,21
Zerynthia rumina,4
Zizeeria karsandra,4
Zizeeria knysna,3
