scientific_name,phylogenetic_order,family,subfamily,genus,specific_epithet,authorship,english_name,taxon_comments,habitats_directive,spec_status,edge_of_range,rlc_eur,endemic_eur,rlc_eu27,endemic_eu27,endemic
Cyaniris semiargus,210,Lycaenidae,Polyommatinae,Cyaniris,semiargus,"(Rottemburg, 1775)",Mazarine Blue,,,,,LC,,LC,,
Cyclyrius webbianus,154,Lycaenidae,Polyommatinae,Cyclyrius,webbianus,"(Brullé, 1839)",Canary Blue,,,,,LC,EUR,LC,EU27,MA_CA
Danaus chrysippus,330,Nymphalidae,Danainae,Danaus,chrysippus,"(Linnaeus, 1758)",Plain Tiger,,,,EoR,,,,,
Danaus plexippus,329,Nymphalidae,Danainae,Danaus,plexippus,"(Linnaeus, 1758)",Monarch,,,,EoR,,,,,
Erebia aethiopella,472,Nymphalidae,Satyrinae,Erebia,aethiopella,"(Hoffmansegg, 1806)",False Mnestra Ringlet,,,,,LC,EUR,LC,EU27,
Erebia aethiops,482,Nymphalidae,Satyrinae,Erebia,aethiops,"(Esper, 1777)",Scotch Argus,,,,,LC,,LC,,
Erebia albergana,476,Nymphalidae,Satyrinae,Erebia,albergana,"(de Prunner, 1798)",Almond-eyed Ringlet,,,,,LC,EUR,LC,,
Erebia arvernensis,461,Nymphalidae,Satyrinae,Erebia,arvernensis,"Oberthür, 1908",Western Brassy Ringlet,,,,,,,,,
Erebia calcarius,460,Nymphalidae,Satyrinae,Erebia,calcarius,"Lorković, 1953",Lorkovic's Brassy Ringlet,,II+IV,,,LC,EUR,LC,EU27,
Erebia callias,455,Nymphalidae,Satyrinae,Erebia,callias,"Edwards, 1871",Colorado Alpine,,,,EoR,,,,,
Erebia cassioides,457,Nymphalidae,Satyrinae,Erebia,cassioides,"(Hohenwarth, 1792)",Common Brassy Ringlet,,,,,LC,EUR,LC,,
Erebia christi,484,Nymphalidae,Satyrinae,Erebia,christi,"Rätzer, 1890",Rätzer's Ringlet,,II+IV,SPEC1,,VU,EUR,VU,,
Erebia claudina,450,Nymphalidae,Satyrinae,Erebia,claudina,"(Borkhausen, 1789)",White-speck Ringlet,,,SPEC2,,NT,EUR,NT,EU27,
Erebia cyclopius,444,Nymphalidae,Satyrinae,Erebia,cyclopius,"(Eversmann, 1844)",suggestion: One-eyed Ringlet,,,,EoR,,,,,
Erebia dabanensis,448,Nymphalidae,Satyrinae,Erebia,dabanensis,"Erschoff, 1872",Four-dotted Alpine,,,,EoR,,,,,
Erebia disa,446,Nymphalidae,Satyrinae,Erebia,disa,"(Thunberg, 1791)",Arctic Ringlet,,,,,LC,,LC,,
Erebia discoidalis,442,Nymphalidae,Satyrinae,Erebia,discoidalis,"(Kirby, 1837)",Red-disked Alpine,,,,,LC,,,,
Erebia edda,440,Nymphalidae,Satyrinae,Erebia,edda,"Ménétriés, 1851",suggestion: XX Ringlet,,,,EoR,,,,,
Erebia embla,445,Nymphalidae,Satyrinae,Erebia,embla,"(Thunberg, 1791)",Lapland Ringlet,,,SPEC3,,LC,,LC,,
Erebia epiphron,486,Nymphalidae,Satyrinae,Erebia,epiphron,"(Knoch, 1783)",Mountain Ringlet,,,,,LC,EUR,LC,,
Erebia epistygne,467,Nymphalidae,Satyrinae,Erebia,epistygne,"(Hübner, 1819)",Spring Ringlet,,,SPEC2,,NT,EUR,NT,EU27,
Erebia eriphyle,466,Nymphalidae,Satyrinae,Erebia,eriphyle,"(Freyer, 1836)",Eriphyle Ringlet,,,,,LC,EUR,LC,,
Erebia euryale,468,Nymphalidae,Satyrinae,Erebia,euryale,"(Esper, 1805)",Large Ringlet,,,,,LC,,LC,,
Erebia fasciata,441,Nymphalidae,Satyrinae,Erebia,fasciata,"Butler, 1868",Banded Alpine,,,,EoR,,,,,
Erebia flavofasciata,487,Nymphalidae,Satyrinae,Erebia,flavofasciata,"Heyne, 1895",Yellow-banded Ringlet,,,SPEC2,,NT,EUR,NT,,
Erebia gorge,463,Nymphalidae,Satyrinae,Erebia,gorge,"(Hübner, 1804)",Silky Ringlet,,,,,LC,EUR,LC,,
Erebia gorgone,473,Nymphalidae,Satyrinae,Erebia,gorgone,"Boisduval, 1833",Gavarnie Ringlet,,,,,LC,EUR,LC,,
Erebia hispania,453,Nymphalidae,Satyrinae,Erebia,hispania,"Butler, 1868",Spanish Brassy Ringlet,,,,,LC,EUR,LC,,
Erebia jeniseiensis,449,Nymphalidae,Satyrinae,Erebia,jeniseiensis,"Trybom, 1877",suggestion: XX Ringlet,,,,EoR,,,,,
Erebia lefebvrei,494,Nymphalidae,Satyrinae,Erebia,lefebvrei,"(Boisduval, 1828)",Lefèbvre's Ringlet,,,,,LC,EUR,LC,,
Erebia ligea,470,Nymphalidae,Satyrinae,Erebia,ligea,"(Linnaeus, 1758)",Arran Brown,,,,,LC,,LC,,
Erebia manto,451,Nymphalidae,Satyrinae,Erebia,manto,"([Denis & Schiffermüller], 1775)",Yellow-spotted Ringlet,,,SPEC3,,LC,EUR,LC,,
Erebia medusa,481,Nymphalidae,Satyrinae,Erebia,medusa,"([Denis & Schiffermüller], 1775)",Woodland Ringlet,,,,,LC,,LC,,
Erebia melampus,478,Nymphalidae,Satyrinae,Erebia,melampus,"(Fuessly, 1775)",Lesser Mountain Ringlet,,,,,LC,EUR,LC,,
Erebia melas,493,Nymphalidae,Satyrinae,Erebia,melas,"(Herbst, 1796)",Black Ringlet,,,,,LC,EUR,LC,,
Erebia meolans,447,Nymphalidae,Satyrinae,Erebia,meolans,"(de Prunner, 1798)",Piedmont Ringlet,,,,,LC,EUR,LC,,
Erebia mnestra,475,Nymphalidae,Satyrinae,Erebia,mnestra,"(Hübner, 1804)",Mnestra's Ringlet,,,,,LC,EUR,LC,,
Erebia montana,488,Nymphalidae,Satyrinae,Erebia,montana,"(de Prunner, 1798)",Marbled Ringlet,,,,,LC,EUR,LC,,
Erebia neleus,459,Nymphalidae,Satyrinae,Erebia,neleus,"(Freyer, 1832)",,suggestion: XX Ringlet,,,,,,,,
Erebia neoridas,496,Nymphalidae,Satyrinae,Erebia,neoridas,"(Boisduval, 1828)",Autumn Ringlet,,,,,LC,EUR,LC,,
Erebia nivalis,458,Nymphalidae,Satyrinae,Erebia,nivalis,"Lorković & Lesse, 1954",De Lesse's Brassy Ringlet,,,,,LC,EUR,LC,,
Erebia oeme,462,Nymphalidae,Satyrinae,Erebia,oeme,"(Hübner, 1804)",Bright-eyed Ringlet,,,,,LC,EUR,LC,,
Erebia orientalis,485,Nymphalidae,Satyrinae,Erebia,orientalis,"Elwes, 1900",Bulgarian Ringlet,,,,,LC,EUR,LC,,
Erebia ottomana,452,Nymphalidae,Satyrinae,Erebia,ottomana,"Herrich-Schäffer, 1847",Ottoman Brassy Ringlet,,,,,LC,,LC,,
Erebia palarica,469,Nymphalidae,Satyrinae,Erebia,palarica,"Chapman, 1905",Chapman's Ringlet,,,,,LC,EUR,LC,EU27,ES
Erebia pandrose,465,Nymphalidae,Satyrinae,Erebia,pandrose,"(Borkhausen, 1788)",Dewy Ringlet,,,,,LC,,LC,,
Erebia pharte,483,Nymphalidae,Satyrinae,Erebia,pharte,"(Hübner, 1804)",Blind Ringlet,,,,,LC,EUR,LC,,
Erebia pluto,471,Nymphalidae,Satyrinae,Erebia,pluto,"(de Prunner, 1798)",Sooty Ringlet,,,,,LC,EUR,LC,,
Erebia polaris,480,Nymphalidae,Satyrinae,Erebia,polaris,"Staudinger, 1861",Arctic Woodland Ringlet,,II,,,LC,,LC,,
Erebia pronoe,492,Nymphalidae,Satyrinae,Erebia,pronoe,"(Esper, 1780)",Water Ringlet,,,,,LC,EUR,LC,,
Erebia rhodopensis,474,Nymphalidae,Satyrinae,Erebia,rhodopensis,"Nicholl, 1900",Nicholl's Ringlet,,,,,LC,EUR,LC,,
Erebia rondoui,454,Nymphalidae,Satyrinae,Erebia,rondoui,"Oberthür, 1908",Pyrenees Brassy Ringlet,,,,,LC,EUR,LC,EU27,
Erebia rossii,443,Nymphalidae,Satyrinae,Erebia,rossii,"(Curtis, 1835)",Arctic Alpine Ringlet,,,,,,,,,
Erebia scipio,491,Nymphalidae,Satyrinae,Erebia,scipio,"Boisduval, 1833",Larche Ringlet,,,,,LC,EUR,LC,EU27,
Erebia sthennyo,464,Nymphalidae,Satyrinae,Erebia,sthennyo,"Graslin, 1850",False Dewy Ringlet,,,,,LC,EUR,LC,EU27,
Erebia stiria,490,Nymphalidae,Satyrinae,Erebia,stiria,"(Godart, 1824)",Styrian Ringlet,,,,,LC,EUR,LC,,
Erebia styx,489,Nymphalidae,Satyrinae,Erebia,styx,"(Freyer, 1834)",Stygian Ringlet,,,,,LC,EUR,LC,,
Erebia sudetica,477,Nymphalidae,Satyrinae,Erebia,sudetica,"Staudinger, 1861",Sudeten Ringlet,,IV,SPEC1,,VU,EUR,VU,,
Erebia triarius,479,Nymphalidae,Satyrinae,Erebia,triarius,"(de Prunner, 1798)",de Prunner's Ringlet,,,,,LC,EUR,LC,,
Erebia tyndarus,456,Nymphalidae,Satyrinae,Erebia,tyndarus,"(Esper, 1781)",Swiss Brassy Ringlet,,,,,LC,EUR,LC,,
Erebia zapateri,495,Nymphalidae,Satyrinae,Erebia,zapateri,"Oberthür, 1875",Zapater's Ringlet,,,,,LC,EUR,LC,EU27,ES
Erynnis marloyi,46,Hesperiidae,Pyrginae,Erynnis,marloyi,"(Boisduval, 1834)",Inky Skipper,,,,,LC,,LC,,
Erynnis tages,45,Hesperiidae,Pyrginae,Erynnis,tages,"(Linnaeus, 1758)",Dingy Skipper,,,,,LC,,LC,,
Euchloe ausonia,110,Pieridae,Pierinae,Euchloe,ausonia,"(Hübner, 1804)",Eastern Dappled White,,,,,LC,,LC,,
Euchloe bazae,113,Pieridae,Pierinae,Euchloe,bazae,"Fabiano, 1993",Spanish Greenish Black-tip,,,SPEC1,,VU,EUR,VU,EU27,ES
Euchloe belemia,106,Pieridae,Pierinae,Euchloe,belemia,"(Esper, 1800)",Green-striped White,,,,,LC,,LC,,
Euchloe charlonia,111,Pieridae,Pierinae,Euchloe,charlonia,"(Donzel, 1842)",Greenish Black-tip,,,,EoR,LC,,LC,,
Euchloe crameri,108,Pieridae,Pierinae,Euchloe,crameri,"Butler, 1869",Western Dappled White,,,,,LC,,LC,,
Euchloe eversi,103,Pieridae,Pierinae,Euchloe,eversi,"Stamm, 1963",Tenerife Green-striped White,,,,,LC,EUR,LC,EU27,MA_CA|MA_CA_Tenerife
