scientific_name,phylogenetic_order,family,subfamily,genus,specific_epithet,authorship,english_name,taxon_comments,habitats_directive,spec_status,edge_of_range,rlc_eur,endemic_eur,rlc_eu27,endemic_eu27,endemic
Parnassius phoebus,7,Papilionidae,Parnassiinae,Parnassius,phoebus,"(Fabricius, 1793)",Small Apollo,,,SPEC2,,NT,,NT,,
Pelopidas thrax,19,Hesperiidae,Hesperiinae,Pelopidas,thrax,"(Hübner, 1821)",Millet Skipper,,,,EoR,,,,,
Phengaris alcon,162,Lycaenidae,Polyommatinae,Phengaris,alcon,"([Denis & Schiffermüller], 1775)",Alcon Blue,,,SPEC3,,LC,,NT,,
Phengaris arion,163,Lycaenidae,Polyommatinae,Phengaris,arion,"(Linnaeus, 1758)",Large Blue,,IV,SPEC1,,EN,,EN,,
Phengaris nausithous,165,Lycaenidae,Polyommatinae,Phengaris,nausithous,"(Bergsträsser, 1779)",Dusky Large Blue,,II+IV,SPEC2,,NT,,NT,,
Phengaris teleius,164,Lycaenidae,Polyommatinae,Phengaris,teleius,"(Bergsträsser, 1779)",Scarce Large Blue,,II+IV,SPEC1,,VU,,VU,,
Pieris balcana,101,Pieridae,Pierinae,Pieris,balcana,"Lorković, 1969",Balkan Green-veined White,,,,,LC,EUR,LC,,
Pieris brassicae,93,Pieridae,Pierinae,Pieris,brassicae,"(Linnaeus, 1758)",Large White,,,,,LC,,LC,,
Pieris bryoniae,99,Pieridae,Pierinae,Pieris,bryoniae,"(Hübner, 1806)",Mountain Green-veined White,,,,,LC,,LC,,
Pieris cheiranthi,95,Pieridae,Pierinae,Pieris,cheiranthi,"(Hübner, 1808)",Canary Islands Large White,,,SPEC1,,EN,EUR,EN,EU27,MA_CA
Pieris ergane,98,Pieridae,Pierinae,Pieris,ergane,"(Geyer, 1828)",Mountain Small White,,,,,LC,,LC,,
Pieris krueperi,92,Pieridae,Pierinae,Pieris,krueperi,"Staudinger, 1860",Krueper's Small White,,,,,LC,,LC,,
Pieris mannii,97,Pieridae,Pierinae,Pieris,mannii,"(Mayer, 1851)",Southern Small White,,,,,LC,,LC,,
Pieris napi,100,Pieridae,Pierinae,Pieris,napi,"(Linnaeus, 1758)",Green-veined White,,,,,LC,,LC,,
Pieris rapae,96,Pieridae,Pierinae,Pieris,rapae,"(Linnaeus, 1758)",Small White,,,,,LC,,LC,,
Pieris wollastoni,94,Pieridae,Pierinae,Pieris,wollastoni,"(Butler, 1886)",Madeiran Large White,,,SPEC1,,CR,EUR,CR,EU27,MA_MA|MA_MA_Madeira
Plebejidea loewii,202,Lycaenidae,Polyommatinae,Plebejidea,loewii,"(Zeller, 1847)",Loew's Blue,,,,EoR,,,,,
Plebejus argus,191,Lycaenidae,Polyommatinae,Plebejus,argus,"(Linnaeus, 1758)",Silver-studded Blue,,,,,LC,,LC,,
Plebejus argyrognomon,194,Lycaenidae,Polyommatinae,Plebejus,argyrognomon,"(Bergsträsser, 1779)",Reverdin's Blue,,,,,LC,,LC,,
Plebejus bellieri,193,Lycaenidae,Polyommatinae,Plebejus,bellieri,"(Oberthür, 1910)",Bellier's Blue,,,,,LC,EUR,LC,EU27,
Plebejus idas,192,Lycaenidae,Polyommatinae,Plebejus,idas,"(Linnaeus, 1760)",Idas Blue,,,,,LC,,LC,,
Polygonia c-album,300,Nymphalidae,Nymphalinae,Polygonia,c-album,"(Linnaeus, 1758)",Comma,,,,,LC,,LC,,
Polygonia egea,299,Nymphalidae,Nymphalinae,Polygonia,egea,"(Cramer, 1775)",Southern Comma,,,,,LC,,LC,,
Polyommatus admetus,239,Lycaenidae,Polyommatinae,Polyommatus,admetus,"(Esper, 1783)",Anomalous Blue,,,,,LC,,LC,,
Polyommatus amandus,229,Lycaenidae,Polyommatinae,Polyommatus,amandus,"(Schneider, 1792)",Amanda's Blue,,,,,LC,,LC,,
Polyommatus aroaniensis,250,Lycaenidae,Polyommatinae,Polyommatus,aroaniensis,"(Brown, 1976)",Grecian Anomalous Blue,,,,,LC,EUR,LC,EU27,
Polyommatus celina,233,Lycaenidae,Polyommatinae,Polyommatus,celina,"(Austaut, 1879)",Austaut's Blue,,,,,,,,,
Polyommatus damocles,238,Lycaenidae,Polyommatinae,Polyommatus,damocles,"(Herrich-Schäffer, 1844)",suggestion:,,,,,DD,,,,
Polyommatus damon,236,Lycaenidae,Polyommatinae,Polyommatus,damon,"([Denis & Schiffermüller], 1775)",Damon Blue,,,SPEC2,,NT,,NT,,
Polyommatus damone,237,Lycaenidae,Polyommatinae,Polyommatus,damone,"(Eversmann, 1841)",Crimean Blue,,,,EoR,,,,,
Polyommatus daphnis,228,Lycaenidae,Polyommatinae,Polyommatus,daphnis,"([Denis & Schiffermüller], 1775)",Meleager's Blue,,,,,LC,,LC,,
Polyommatus dolus,246,Lycaenidae,Polyommatinae,Polyommatus,dolus,"(Hübner, 1823)",Furry Blue,,,,,LC,EUR,LC,EU27,
Polyommatus dorylas,232,Lycaenidae,Polyommatinae,Polyommatus,dorylas,"([Denis & Schiffermüller], 1775)",Turqouise Blue,,,SPEC2,,NT,,NT,,
Polyommatus eros,235,Lycaenidae,Polyommatinae,Polyommatus,eros,"(Ochsenheimer, 1808)",Eros Blue,,,SPEC2,,NT,,NT,,
Polyommatus escheri,226,Lycaenidae,Polyommatinae,Polyommatus,escheri,"(Hübner, 1823)",Escher's Blue,,,,,LC,,LC,,
Polyommatus fabressei,245,Lycaenidae,Polyommatinae,Polyommatus,fabressei,"(Oberthür, 1910)",Oberthür's Anomalous Blue,,,,,LC,EUR,LC,EU27,ES
Polyommatus fulgens,244,Lycaenidae,Polyommatinae,Polyommatus,fulgens,"(Sagarra, 1925)",Catalonian Furry Blue,,,,,LC,EUR,LC,EU27,ES
Polyommatus golgus,230,Lycaenidae,Polyommatinae,Polyommatus,golgus,"(Hübner, 1813)",Nevada Blue,,II+IV,SPEC1,,VU,EUR,VU,EU27,ES
Polyommatus humedasae,247,Lycaenidae,Polyommatinae,Polyommatus,humedasae,"(Toso & Balletto, 1976)",Piedmont Anomalous Blue,,,SPEC1,,EN,EUR,EN,EU27,IT
Polyommatus icarus,234,Lycaenidae,Polyommatinae,Polyommatus,icarus,"(Rottemburg, 1775)",Common Blue,,,,,LC,,LC,,
Polyommatus iphigenia,242,Lycaenidae,Polyommatinae,Polyommatus,iphigenia,"(Herrich-Schäffer, 1847)",Chelmos Blue,,,,EoR,,,,,
Polyommatus nephohiptamenos,241,Lycaenidae,Polyommatinae,Polyommatus,nephohiptamenos,"(Brown & Coutsis, 1978)",Higgins' Anomalous Blue,,,SPEC2,,NT,EUR,NT,EU27,
Polyommatus nivescens,231,Lycaenidae,Polyommatinae,Polyommatus,nivescens,"(Keferstein, 1851)",Mother-of-pearl Blue,,,SPEC2,,NT,EUR,NT,EU27,ES
Polyommatus orphicus,249,Lycaenidae,Polyommatinae,Polyommatus,orphicus,"Kolev, 2005",Kolev's Anomalous Blue,,,SPEC1,,VU,EUR,VU,EU27,
Polyommatus ripartii,240,Lycaenidae,Polyommatinae,Polyommatus,ripartii,"(Freyer, 1830)",Ripart's Anomalous Blue,,,,,LC,,NT,,
Polyommatus thersites,227,Lycaenidae,Polyommatinae,Polyommatus,thersites,"(Cantener, 1835)",Chapman's Blue,,,,,LC,,LC,,
Polyommatus timfristos,248,Lycaenidae,Polyommatinae,Polyommatus,timfristos,"Lukhtanov, Vishnevskaya & Shapoval, 2016",,suggestion: Timfristos Anomalous Blue,,,,,,,,GR
Polyommatus violetae,243,Lycaenidae,Polyommatinae,Polyommatus,violetae,"(Gómez-Bustillo, Expósito & Martínez, 1979)",Andalusian Anomalous Blue,,,SPEC1,,VU,EUR,VU,EU27,ES
Pontia callidice,89,Pieridae,Pierinae,Pontia,callidice,"(Hübner, 1800)",Peak White,,,,,LC,,LC,,
Pontia chloridice,88,Pieridae,Pierinae,Pontia,chloridice,"(Hübner, 1813)",Small Bath White,,,,,LC,,LC,,
Pontia daplidice,91,Pieridae,Pierinae,Pontia,daplidice,"(Linnaeus, 1758)",Bath White,,,,,LC,,LC,,
Pontia edusa,90,Pieridae,Pierinae,Pontia,edusa,"(Fabricius, 1777)",Eastern Bath White,,,,,LC,,LC,,
Praephilotes anthracias,174,Lycaenidae,Polyommatinae,Praephilotes,anthracias,"(Christoph, 1877)",suggestion:,,,,EoR,,,,,
Proterebia phegea,425,Nymphalidae,Satyrinae,Proterebia,phegea,"(Borkhausen, 1788)",Dalmatian Ringlet,,,,,LC,,LC,,
Pseudochazara amalthea,417,Nymphalidae,Satyrinae,Pseudochazara,amalthea,"(Frivaldszky, 1845)",,,,,,,,,,
Pseudochazara amymone,415,Nymphalidae,Satyrinae,Pseudochazara,amymone,"Brown, 1976",Brown's Grayling,,,SPEC1,,VU,EUR,VU,EU27,
Pseudochazara anthelea,416,Nymphalidae,Satyrinae,Pseudochazara,anthelea,"(Hübner, 1824)",White-banded Grayling,,,,,LC,,LC,,
Pseudochazara cingovskii,421,Nymphalidae,Satyrinae,Pseudochazara,cingovskii,"(Gross, 1973)",Macedonian Grayling,,,SPEC1,,CR,EUR,,,MK
Pseudochazara euxina,419,Nymphalidae,Satyrinae,Pseudochazara,euxina,"(Kuznetsov, 1909)",,,,SPEC1,,EN,EUR,,,UA
Pseudochazara geyeri,413,Nymphalidae,Satyrinae,Pseudochazara,geyeri,"(Herrich-Schäffer, 1846)",Gray Asian Grayling,,,,,LC,,LC,,
Pseudochazara graeca,414,Nymphalidae,Satyrinae,Pseudochazara,graeca,"(Staudinger, 1870)",Grecian Grayling,,,,,LC,EUR,LC,,
Pseudochazara mercurius,420,Nymphalidae,Satyrinae,Pseudochazara,mercurius,"(Staudinger, 1887)",Nevada Grayling,,,,EoR,LC,,LC,,
Pseudochazara orestes,423,Nymphalidae,Satyrinae,Pseudochazara,orestes,"De Prins & van der Poorten, 1981",Dils' Grayling,,,SPEC1,,VU,EUR,VU,EU27,
Pseudochazara tisiphone,422,Nymphalidae,Satyrinae,Pseudochazara,tisiphone,"Brown, [1981]",Dark Grayling,,,,,LC,,LC,,
Pseudochazara williamsi,418,Nymphalidae,Satyrinae,Pseudochazara,williamsi,"(Romei, 1927)",,,,,,,,,,
Pseudophilotes abencerragus,169,Lycaenidae,Polyommatinae,Pseudophilotes,abencerragus,"(Pierret, 1837)",False Baton Blue,,,,,LC,,LC,,
Pseudophilotes barbagiae,168,Lycaenidae,Polyommatinae,Pseudophilotes,barbagiae,"De Prins & van der Poorten, 1982",Sardinian Blue,,,,,LC,EUR,LC,EU27,IT_Sardinia
Pseudophilotes baton,172,Lycaenidae,Polyommatinae,Pseudophilotes,baton,"(Bergsträsser, 1779)",Baton Blue,,,SPEC4,,LC,EUR,LC,,
Pseudophilotes bavius,167,Lycaenidae,Polyommatinae,Pseudophilotes,bavius,"(Eversmann, 1832)",Bavius Blue,,II+IV,SPEC3,,LC,,LC,,
Pseudophilotes panoptes,170,Lycaenidae,Polyommatinae,Pseudophilotes,panoptes,"(Hübner, 1813)",Panoptes Blue,,,SPEC2,,NT,EUR,NT,EU27,
Pseudophilotes vicrama,171,Lycaenidae,Polyommatinae,Pseudophilotes,vicrama,"(Moore, 1865)",Eastern Baton Blue,,,SPEC2,,NT,,NT,,
Pyrgus alveus,56,Hesperiidae,Pyrginae,Pyrgus,alveus,"(Hübner, 1803)",Large Grizzled Skipper,,,,,LC,,LC,,
Pyrgus andromedae,53,Hesperiidae,Pyrginae,Pyrgus,andromedae,"(Wallengren, 1853)",Alpine Grizzled Skipper,,,,,LC,EUR,LC,,
Pyrgus armoricanus,55,Hesperiidae,Pyrginae,Pyrgus,armoricanus,"(Oberthür, 1910)",Oberthür's Grizzled Skipper,,,,,LC,,LC,,
Pyrgus cacaliae,52,Hesperiidae,Pyrginae,Pyrgus,cacaliae,"(Rambur, 1839)",Dusky Grizzled Skipper,,,,,LC,EUR,LC,,
Pyrgus carlinae,60,Hesperiidae,Pyrginae,Pyrgus,carlinae,"(Rambur, 1839)",Carline Skipper,,,,,LC,EUR,LC,,
Pyrgus carthami,49,Hesperiidae,Pyrginae,Pyrgus,carthami,"(Hübner, 1813)",Safflower Skipper,,,,,LC,,LC,,
Pyrgus centaureae,51,Hesperiidae,Pyrginae,Pyrgus,centaureae,"(Rambur, 1839)",Northern Grizzled Skipper,,,,,LC,,LC,,
Pyrgus cinarae,62,Hesperiidae,Pyrginae,Pyrgus,cinarae,"(Rambur, 1839)",Sandy Grizzled Skipper,,,,,LC,,LC,,
Pyrgus cirsii,61,Hesperiidae,Pyrginae,Pyrgus,cirsii,"(Rambur, 1839)",Cinquefoil Skipper,,,SPEC1,,VU,EUR,VU,,
Pyrgus foulquieri,58,Hesperiidae,Pyrginae,Pyrgus,foulquieri,"(Oberthür, 1910)",Foulquier's Grizzled Skipper,,,,,LC,EUR,LC,EU27,
Pyrgus malvae,48,Hesperiidae,Pyrginae,Pyrgus,malvae,"(Linnaeus, 1758)",Grizzled Skipper,,,,,LC,,LC,,
Pyrgus malvoides,47,Hesperiidae,Pyrginae,Pyrgus,malvoides,"(Elwes & Edwards, 1897)",Southern Grizzled Skipper,,,,,LC,EUR,LC,,
Pyrgus onopordi,59,Hesperiidae,Pyrginae,Pyrgus,onopordi,"(Rambur, 1839)",Rosy Grizzled Skipper,,,,,LC,,LC,,
Pyrgus serratulae,54,Hesperiidae,Pyrginae,Pyrgus,serratulae,"(Rambur, 1839)",Olive Skipper,,,,,LC,,NT,,
Pyrgus sidae,50,Hesperiidae,Pyrginae,Pyrgus,sidae,"(Esper, 1784)",Yellow-banded Skipper,,,,,LC,,LC,,
Pyrgus warrenensis,57,Hesperiidae,Pyrginae,Pyrgus,warrenensis,"(Verity, 1928)",Warren's Skipper,,,,,LC,EUR,LC,,
Pyronia bathseba,432,Nymphalidae,Satyrinae,Pyronia,bathseba,"(Fabricius, 1793)",Spanish Gatekeeper,,,,,LC,,LC,,
Pyronia cecilia,429,Nymphalidae,Satyrinae,Pyronia,cecilia,"(Vallantin, 1894)",Southern Gatekeeper,,,,,LC,,LC,,
Pyronia tithonus,431,Nymphalidae,Satyrinae,Pyronia,tithonus,"(Linnaeus, 1771)",Gatekeeper,,,SPEC3,,LC,,LC,,
Satyrium acaciae,152,Lycaenidae,Theclinae,Satyrium,acaciae,"(Fabricius, 1787)",Sloe Hairstreak,,,,,LC,,LC,,
Satyrium esculi,148,Lycaenidae,Theclinae,Satyrium,esculi,"(Hübner, 1804)",False Ilex Hairstreak,,,,,LC,,LC,,
Satyrium ilicis,147,Lycaenidae,Theclinae,Satyrium,ilicis,"(Esper, 1779)",Ilex Hairstreak,,,SPEC3,,LC,,LC,,
Satyrium ledereri,149,Lycaenidae,Theclinae,Satyrium,ledereri,"(Boisduval, 1848)",Orange-banded Hairstreak,,,,EoR,,,,,
Satyrium pruni,146,Lycaenidae,Theclinae,Satyrium,pruni,"(Linnaeus, 1758)",Black Hairstreak,,,,,LC,,LC,,
Satyrium spini,151,Lycaenidae,Theclinae,Satyrium,spini,"([Denis & Schiffermüller], 1775)",Blue-spot Hairstreak,,,,,LC,,LC,,
Satyrium w-album,150,Lycaenidae,Theclinae,Satyrium,w-album,"(Knoch, 1782)",White-letter Hairstreak,,,,,LC,,LC,,
Satyrus actaea,409,Nymphalidae,Satyrinae,Satyrus,actaea,"(Esper, 1781)",Black Satyr,,,,,LC,EUR,LC,,
Satyrus ferula,407,Nymphalidae,Satyrinae,Satyrus,ferula,"(Fabricius, 1793)",Great Sooty Satyr,,,,,LC,,LC,,
Satyrus virbius,408,Nymphalidae,Satyrinae,Satyrus,virbius,"Herrich-Schäffer, 1844",Crimean Sooty Satyr,,,,,LC,EUR,,,
Scolitantides orion,173,Lycaenidae,Polyommatinae,Scolitantides,orion,"(Pallas, 1771)",Checkered Blue,,,,,LC,,NT,,
Speyeria aglaja,264,Nymphalidae,Heliconiinae,Speyeria,aglaja,"(Linnaeus, 1758)",Dark Green Fritillary,,,,,LC,,LC,,
Spialia orbifer,34,Hesperiidae,Pyrginae,Spialia,orbifer,"(Hübner, 1823)",Hungarian Skipper,,,,,LC,,LC,,
Spialia phlomidis,30,Hesperiidae,Pyrginae,Spialia,phlomidis,"(Herrich-Schäffer, 1845)",Persian Skipper,,,,,LC,,LC,,
Spialia rosae,33,Hesperiidae,Pyrginae,Spialia,rosae,"Hernández-Roldán, Dapporto, Dincă, Vicente & Vila, 2016",,,,,,,,,,ES
Spialia sertorius,31,Hesperiidae,Pyrginae,Spialia,sertorius,"(Hoffmansegg, 1804)",Red-underwing Skipper,,,,,LC,,LC,,
Spialia therapne,32,Hesperiidae,Pyrginae,Spialia,therapne,"(Rambur, 1832)",Corsican Red-underwing Skipper,,,,,LC,EUR,LC,EU27,
Tarucus balkanicus,161,Lycaenidae,Polyommatinae,Tarucus,balkanicus,"(Freyer, 1844)",Little Tiger Blue,,,,,LC,,LC,,
Tarucus theophrastus,160,Lycaenidae,Polyommatinae,Tarucus,theophrastus,"(Fabricius, 1793)",Common Tiger Blue,,,,,LC,,LC,,
Thecla betulae,135,Lycaenidae,Theclinae,Thecla,betulae,"(Linnaeus, 1758)",Brown Hairstreak,,,,,LC,,LC,,
Thymelicus acteon,26,Hesperiidae,Hesperiinae,Thymelicus,acteon,"(Rottemburg, 1775)",Lulworth Skipper,,,SPEC2,,NT,,NT,,
Thymelicus christi,25,Hesperiidae,Hesperiinae,Thymelicus,christi,"Rebel, 1894",Canarian Skipper,,,,,LC,EUR,LC,EU27,MA_CA
Thymelicus hyrax,27,Hesperiidae,Hesperiinae,Thymelicus,hyrax,"(Lederer, 1861)",Levantine Skipper,,,,,LC,,LC,,
Thymelicus lineola,29,Hesperiidae,Hesperiinae,Thymelicus,lineola,"(Ochsenheimer, 1808)",Essex Skipper,,,,,LC,,LC,,
Thymelicus sylvestris,28,Hesperiidae,Hesperiinae,Thymelicus,sylvestris,"(Poda, 1761)",Small Skipper,,,,,LC,,LC,,
Tomares ballus,138,Lycaenidae,Theclinae,Tomares,ballus,"(Fabricius, 1787)",Provence Hairstreak,,,,,LC,,LC,,
Tomares callimachus,140,Lycaenidae,Theclinae,Tomares,callimachus,"(Eversmann, 1848)",Caucasian Vernal Copper,,,SPEC3,EoR,LC,,,,
Tomares nogelii,139,Lycaenidae,Theclinae,Tomares,nogelii,"(Herrich-Schäffer, 1851)",Nogel's Hairstreak,,,SPEC1,EoR,VU,,RE,,
Tongeia fischeri,183,Lycaenidae,Polyommatinae,Tongeia,fischeri,"(Eversmann, 1843)",suggestion:,,,,EoR,,,,,
Turanana taygetica,166,Lycaenidae,Polyommatinae,Turanana,taygetica,"(Rebel, 1902)",Odd-spot Blue,,,SPEC1,EoR,EN,,EN,,
Vanessa atalanta,295,Nymphalidae,Nymphalinae,Vanessa,atalanta,"(Linnaeus, 1758)",Red Admiral,,,,,LC,,LC,,
Vanessa cardui,293,Nymphalidae,Nymphalinae,Vanessa,cardui,"(Linnaeus, 1758)",Painted Lady,,,,,LC,,LC,,
Vanessa virginiensis,292,Nymphalidae,Nymphalinae,Vanessa,virginiensis,"(Drury, 1773)",American Painted Lady,,,,EoR,,,,,
Vanessa vulcania,294,Nymphalidae,Nymphalinae,Vanessa,vulcania,"Godart, 1819",Canary Red Admiral,,,,,LC,EUR,LC,EU27,
Ypthima asterope,424,Nymphalidae,Satyrinae,Ypthima,asterope,"(Klug, 1832)",African Ringlet,,,,EoR,,,,,
Zegris eupheme,115,Pieridae,Pierinae,Zegris,eupheme,"(Esper, 1804)",Sooty Orange-tip,,,SPEC2,,NT,,NT,,
Zegris pyrothoe,114,Pieridae,Pierinae,Zegris,pyrothoe,"(Eversmann, 1832)",Eversmann's Sooty Orange-tip,,,,EoR,,,,,
Zerynthia cassandra,15,Papilionidae,Parnassiinae,Zerynthia,cassandra,"(Geyer, [1828])",Italian Festoon,,,,,,,,,IT
Zerynthia caucasica,12,Papilionidae,Parnassiinae,Zerynthia,caucasica,"(Lederer, 1864)",Caucasian Festoon,,,,EoR,,,,,
Zerynthia cerisy,10,Papilionidae,Parnassiinae,Zerynthia,cerisy,"(Godart, 1824)",Eastern Festoon,,,SPEC2,,NT,,NT,,
Zerynthia cretica,11,Papilionidae,Parnassiinae,Zerynthia,cretica,"(Rebel, 1904)",Cretan Festoon,,,,,LC,EUR,LC,EU27,GR_Krete
Zerynthia polyxena,14,Papilionidae,Parnassiinae,Zerynthia,polyxena,"([Denis & Schiffermüller], 1775)",Southern Festoon,,IV,,,LC,,LC,,
Zerynthia rumina,13,Papilionidae,Parnassiinae,Zerynthia,rumina,"(Linnaeus, 1758)",Spanish Festoon,,,,,LC,,LC,,
Zizeeria karsandra,181,Lycaenidae,Polyommatinae,Zizeeria,karsandra,"(Moore, 1865)",Dark Grass Blue,,,,EoR,,,,,
Zizeeria knysna,180,Lycaenidae,Polyommatinae,Zizeeria,knysna,"(Trimen, 1862)",African Grass Blue,,,,EoR,,,,,
