SpeciesnameEurope,SpeciesnameLocal,CountryCode,RedListCategory,Status
Araschnia levana,Araschnia levana,AT,LC,P
Araschnia levana,Araschnia levana,BA,LC,P
Araschnia levana,Araschnia levana,BE,LC,P
Araschnia levana,Araschnia levana,BG,LC,P
Araschnia levana,Araschnia levana,BY,Unknown,P
Araschnia levana,Araschnia levana,CH,LC,P
Araschnia levana,Araschnia levana,CZ,NE,P
Araschnia levana,Araschnia levana,DE,LC,P
Araschnia levana,Araschnia levana,DK,LC,P
Araschnia levana,Araschnia levana,EE,LC,P
Araschnia levana,Araschnia levana,ES,NE,P
Araschnia levana,Araschnia levana,FI,LC,P
Araschnia levana,Araschnia levana,FR,LC,P
Araschnia levana,Araschnia levana,GR,LC,P
Araschnia levana,Araschnia levana,HR,LC,P
Araschnia levana,Araschnia levana,HU,LC,P
Araschnia levana,Araschnia levana,IT,EN,P
Araschnia levana,Araschnia levana,LT,LC,P
Araschnia levana,Araschnia levana,LU,LC,P
Araschnia levana,Araschnia levana,LV,No Red List available,P
Araschnia levana,Araschnia levana,MD,No Red List available,P
Araschnia levana,Araschnia levana,ME,No Red List available,P
Araschnia levana,Araschnia levana,MK,Unknown,P
Araschnia levana,Araschnia levana,NL,LC,P
Araschnia levana,Araschnia levana,PL,LC,P
Araschnia levana,Araschnia levana,RO,LC,P
Araschnia levana,Araschnia levana,RS,LC,P
Araschnia levana,Araschnia levana,RU,No Red List available,P
Araschnia levana,Araschnia levana,SE,LC,P
Araschnia levana,Araschnia levana,SI,LC,P
Araschnia levana,Araschnia levana,SK,LC,P
Araschnia levana,Araschnia levana,UA,LC,P
Archon apollinus,Archon apollinus,GR,NT,P
Arethusana arethusa,Arethusana arethusa,AD,VU,P
Arethusana arethusa,Arethusana arethusa,AL,VU,P
Arethusana arethusa,Arethusana arethusa,AT,EN,P
Arethusana arethusa,Arethusana arethusa,BA,LC,P
Arethusana arethusa,Hipparchia arethusa,BG,LC,P
Arethusana arethusa,Arethusana arethusa,CH,RE,Ex
Arethusana arethusa,Arethusana arethusa,CZ,VU,P
Arethusana arethusa,Arethusana arethusa,DE,RE,Ex
Arethusana arethusa,Arethusana arethusa,ES,NE,P
Arethusana arethusa,Arethusana arethusa,FR,LC,P
Arethusana arethusa,Arethusana arethusa,GR,LC,P
Arethusana arethusa,Arethusana arethusa,HR,LC,P
Arethusana arethusa,Arethusana arethusa,HU,LC,P
Arethusana arethusa,Arethusana arethusa,IT,LC,P
Arethusana arethusa,Arethusana arethusa,MD,No Red List available,P
Arethusana arethusa,Arethusana arethusa,ME,No Red List available,P
Arethusana arethusa,Arethusana arethusa,MK,Unknown,P
Arethusana arethusa,Arethusana arethusa,PT,No Red List available,P
Arethusana arethusa,Arethusana arethusa,RO,NT,P
Arethusana arethusa,Arethusana arethusa,RS,LC,P
Arethusana arethusa,Arethusana arethusa,RU,No Red List available,P
Arethusana arethusa,Arethusana arethusa,SI,LC,P
Arethusana arethusa,Arethusana arethusa,SK,VU,P
Arethusana arethusa,Arethusana arethusa,UA,NT,P
Argynnis laodice,Argynnis laodice,BY,Unknown,P
Argynnis laodice,Argynnis laodice,DE,CR,P
Argynnis laodice,Argynnis laodice,EE,LC,P
Argynnis laodice,Argynnis laodice,FI,NtA,P
Argynnis laodice,Argynnis laodice,HU,NT,P
Argynnis laodice,Argynnis laodice,LT,LC,P
Argynnis laodice,Argynnis laodice,LV,No Red List available,P
Argynnis laodice,Argynnis laodice,PL,LC,P
Argynnis laodice,Argynnis laodice,RO,EN,P
Argynnis laodice,Argynnis laodice,RU,No Red List available,P
Argynnis laodice,Argynnis laodice,SK,LC,P
Argynnis laodice,Argynnis laodice,UA,VU,P
Argynnis pandora,Argynnis pandora,AD,VU,P
Argynnis pandora,Argynnis pandora,AL,VU,P
Argynnis pandora,Argynnis pandora,BA,NT,P
Argynnis pandora,Argynnis pandora,BG,LC,P
Argynnis pandora,Argynnis pandora,CH,NtA,P
Argynnis pandora,Argynnis pandora,CY,No Red List available,P
Argynnis pandora,Argynnis pandora,ES,NE,P
Argynnis pandora,Argynnis pandora,FR,LC,P
Argynnis pandora,Argynnis pandora,GR,LC,P
Argynnis pandora,Argynnis pandora,HR,LC,P
Argynnis pandora,Argynnis pandora,HU,LC,P
Argynnis pandora,Argynnis pandora,IT,LC,P
Argynnis pandora,Argynnis pandora,MA_CA,No Red List available,P
Argynnis pandora,Argynnis pandora,MD,No Red List available,P
Argynnis pandora,Argynnis pandora,ME,No Red List available,P
Argynnis pandora,Argynnis pandora,MK,Unknown,P
Argynnis pandora,Argynnis pandora,PT,No Red List available,P
Argynnis pandora,Argynnis pandora,RO,NT,P
Argynnis pandora,Argynnis pandora,RS,LC,P
Argynnis pandora,Argynnis pandora,RU,No Red List available,P
Argynnis pandora,Argynnis pandora,SI,LC,P
Argynnis pandora,Argynnis pandora,UA,LC,P
Argynnis paphia,Argynnis paphia,AD,LC,P
Argynnis paphia,Argynnis paphia,AL,Unknown,P
Argynnis paphia,Argynnis paphia,AT,LC,P
Argynnis paphia,Argynnis paphia,BA,LC,P
Argynnis paphia,Argynnis paphia,BE,LC,P
Argynnis paphia,Argynnis paphia,BG,LC,P
Argynnis paphia,Argynnis paphia,BY,Unknown,P
Argynnis paphia,Argynnis paphia,CH,LC,P
Argynnis paphia,Argynnis paphia,CZ,NE,P
Argynnis paphia,Argynnis paphia,DE,LC,P
Argynnis paphia,Argynnis paphia,DK,EN,P
Argynnis paphia,Argynnis paphia,EE,LC,P
Argynnis paphia,Argynnis paphia,ES,NE,P
Argynnis paphia,Argynnis paphia,FI,LC,P
Argynnis paphia,Argynnis paphia,FR,LC,P
Argynnis paphia,Argynnis paphia,GB,LC,P
Argynnis paphia,Argynnis paphia,GR,LC,P
Argynnis paphia,Argynnis paphia,HR,LC,P
Argynnis paphia,Argynnis paphia,HU,LC,P
Argynnis paphia,Argynnis paphia,IE,LC,P
Argynnis paphia,Argynnis paphia,IT,LC,P
Argynnis paphia,Argynnis paphia,LI,No Red List available,P
Argynnis paphia,Argynnis paphia,LT,LC,P
Argynnis paphia,Argynnis paphia,LU,LC,P
Argynnis paphia,Argynnis paphia,LV,No Red List available,P
Argynnis paphia,Argynnis paphia,MD,No Red List available,P
Argynnis paphia,Argynnis paphia,ME,No Red List available,P
Argynnis paphia,Argynnis paphia,MK,Unknown,P
Argynnis paphia,Argynnis paphia,NL,RE,P
Argynnis paphia,Argynnis paphia,NO,LC,P
Argynnis paphia,Argynnis paphia,PL,LC,P
Argynnis paphia,Argynnis paphia,PT,No Red List available,P
Argynnis paphia,Argynnis paphia,RO,LC,P
Argynnis paphia,Argynnis paphia,RS,LC,P
Argynnis paphia,Argynnis paphia,RU,No Red List available,P
Argynnis paphia,Argynnis paphia,SE,LC,P
Argynnis paphia,Argynnis paphia,SI,LC,P
Argynnis paphia,Argynnis paphia,SK,LC,P
Argynnis paphia,Argynnis paphia,UA,LC,P
Aricia agestis,Aricia agestis,AL,Unknown,P
Aricia agestis,Aricia agestis,AT,NT,P
Aricia agestis,Aricia agestis,BA,LC,P
Aricia agestis,Aricia agestis,BE,LC,P
