"taxonID","locality","countryCode","threatStatus","establishmentMeans","source"
"red-lists-european-butterflies-checklist:taxon:792a509161664489dfd008c52f198f76","Ukraine","UA","VU","Breeding","Popov & Geryak (pers. comm.)"
"red-lists-european-butterflies-checklist:taxon:792a509161664489dfd008c52f198f76","Moldova","MD","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:792a509161664489dfd008c52f198f76","Serbia","RS","LC","Breeding","Jakšic (2003); Popovic et al. (2017)"
"red-lists-european-butterflies-checklist:taxon:792a509161664489dfd008c52f198f76","Albania","AL","VU","Breeding","Anonymous (2013)"
"red-lists-european-butterflies-checklist:taxon:79cc354c365285f0c149126cfe93e126","Russia","RU","No Red List available","Breeding","Iliashenko & Iliashenko (2000); Danilov-Danilian (2001)"
"red-lists-european-butterflies-checklist:taxon:79cc354c365285f0c149126cfe93e126","Ukraine","UA","VU","Breeding","Popov & Geryak (pers. comm.)"
"red-lists-european-butterflies-checklist:taxon:7a3efb7210a6518965dfcf0f45374c5c","Macaronesia_MadeiraIslands","MA_MA","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Luxembourg","LU","DD","Breeding","Mestdagh et al. (2018)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Belgium","BE","EN","Breeding","Fichefet et al. (2008); Maes et al. (2012)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Andorra","AD","LC","Breeding","Dantart & Jubany (2012)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Austria","AT","LC","Breeding","Zulka et al. 2003; Höttinger and Pennerstorfer (2005)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Bulgaria","BG","LC","Breeding","Hristova and Beshkov (2017)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Denmark","DK","LC","Breeding","Wind & Phil (2004)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Estonia","EE","LC","Breeding","Anu Tiitsaar (pers.comm.)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Finland","FI","LC","Breeding","Kaitila et al. (2010)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","France","FR","LC","Breeding","UICN France (2012)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Greece","GR","LC","Breeding","Pamperis (2009); Legakis and Maragou (2009)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Croatia","HR","LC","Breeding","Šašic et al. (2015a)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Italy","IT","LC","Breeding","Bonelli et al. (in press)"
