"SpeciesnameLocal";"SpeciesnameEurope";"CountryCode";"RedListCategory";"Endemic"
"Apatura iris";"Apatura iris";"PT";"No Red List available";
"Apatura iris";"Apatura iris";"RO";"No Red List available";
"Apatura iris";"Apatura iris";"RS";"EN";
"Apatura iris";"Apatura iris";"RU";"No Red List available";
"Apatura iris";"Apatura iris";"SE";"LC";
"Apatura iris";"Apatura iris";"SI";"LC";
"Apatura iris";"Apatura iris";"SK";"LC";
"Apatura iris";"Apatura iris";"UA";"No Red List available";
"Apatura metis";"Apatura metis";"AL";"Unknown";
"Apatura metis";"Apatura metis";"BA";"NT";
"Apatura metis";"Apatura metis";"BG";"LC";
"Apatura metis";"Apatura metis";"GR";"LC";
"Apatura metis";"Apatura metis";"HR";"VU";
"Apatura metis";"Apatura metis";"HU";"VU";
"Apatura metis";"Apatura metis";"MD";"No Red List available";
"Apatura metis";"Apatura metis";"ME";"No Red List available";
"Apatura metis";"Apatura metis";"MK";"NT";
"Apatura metis";"Apatura metis";"RO";"No Red List available";
"Apatura metis";"Apatura metis";"RS";"VU";
"Apatura metis";"Apatura metis";"RU";"No Red List available";
"Apatura metis";"Apatura metis";"SK";"NE";
"Apatura metis";"Apatura metis";"UA";"No Red List available";
"Aphantopus hyperanthus";"Aphantopus hyperantus";"SK";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"AD";"VU";
"Aphantopus hyperantus";"Aphantopus hyperantus";"AL";"Unknown";
"Aphantopus hyperantus";"Aphantopus hyperantus";"AT";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"BA";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"BE";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"BG";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"BY";"Unknown";
"Aphantopus hyperantus";"Aphantopus hyperantus";"CH";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"CZ";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"DE";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"DK";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"EE";"No Red List available";
"Aphantopus hyperantus";"Aphantopus hyperantus";"ES";"Unknown";
"Aphantopus hyperantus";"Aphantopus hyperantus";"FI";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"FR";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"GB";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"GR";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"HR";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"HU";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"IE";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"IT";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"LI";"No Red List available";
"Aphantopus hyperantus";"Aphantopus hyperantus";"LT";"Unknown";
"Aphantopus hyperantus";"Aphantopus hyperantus";"LU";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"LV";"No Red List available";
"Aphantopus hyperantus";"Aphantopus hyperantus";"MD";"No Red List available";
"Aphantopus hyperantus";"Aphantopus hyperantus";"ME";"No Red List available";
"Aphantopus hyperantus";"Aphantopus hyperantus";"MK";"Unknown";
"Aphantopus hyperantus";"Aphantopus hyperantus";"NL";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"NO";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"PL";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"RO";"No Red List available";
"Aphantopus hyperantus";"Aphantopus hyperantus";"RS";"NT";
"Aphantopus hyperantus";"Aphantopus hyperantus";"RU";"No Red List available";
"Aphantopus hyperantus";"Aphantopus hyperantus";"SE";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"SI";"LC";
"Aphantopus hyperantus";"Aphantopus hyperantus";"UA";"No Red List available";
"Apharitis acamas";"Cigaritis acamas";"CY";"No Red List available";
"Aporia crataegi";"Aporia crataegi";"AD";"LC";
"Aporia crataegi";"Aporia crataegi";"AL";"Unknown";
"Aporia crataegi";"Aporia crataegi";"AT";"NT";
"Aporia crataegi";"Aporia crataegi";"BA";"LC";
"Aporia crataegi";"Aporia crataegi";"BE";"LC";
"Aporia crataegi";"Aporia crataegi";"BG";"LC";
"Aporia crataegi";"Aporia crataegi";"BY";"Unknown";
"Aporia crataegi";"Aporia crataegi";"CH";"NT";
"Aporia crataegi";"Aporia crataegi";"CY";"No Red List available";
"Aporia crataegi";"Aporia crataegi";"CZ";"NT";
"Aporia crataegi";"Aporia crataegi";"DE";"LC";
"Aporia crataegi";"Aporia crataegi";"DK";"LC";
"Aporia crataegi";"Aporia crataegi";"EE";"No Red List available";
"Aporia crataegi";"Aporia crataegi";"ES";"Unknown";
"Aporia crataegi";"Aporia crataegi";"FI";"LC";
"Aporia crataegi";"Aporia crataegi";"FR";"LC";
"Aporia crataegi";"Aporia crataegi";"GB";"RE";
"Aporia crataegi";"Aporia crataegi";"GR";"LC";
"Aporia crataegi";"Aporia crataegi";"HR";"LC";
"Aporia crataegi";"Aporia crataegi";"HU";"LC";
"Aporia crataegi";"Aporia crataegi";"IT";"LC";
"Aporia crataegi";"Aporia crataegi";"LI";"No Red List available";
"Aporia crataegi";"Aporia crataegi";"LT";"Unknown";
"Aporia crataegi";"Aporia crataegi";"LU";"VU";
"Aporia crataegi";"Aporia crataegi";"LV";"No Red List available";
"Aporia crataegi";"Aporia crataegi";"MD";"No Red List available";
"Aporia crataegi";"Aporia crataegi";"ME";"No Red List available";
"Aporia crataegi";"Aporia crataegi";"MK";"Unknown";
"Aporia crataegi";"Aporia crataegi";"NL";"RE";
"Aporia crataegi";"Aporia crataegi";"NO";"EN";
"Aporia crataegi";"Aporia crataegi";"PL";"LC";
"Aporia crataegi";"Aporia crataegi";"PT";"No Red List available";
"Aporia crataegi";"Aporia crataegi";"RO";"No Red List available";
"Aporia crataegi";"Aporia crataegi";"RS";"VU";
"Aporia crataegi";"Aporia crataegi";"RU";"No Red List available";
"Aporia crataegi";"Aporia crataegi";"SE";"LC";
"Aporia crataegi";"Aporia crataegi";"SI";"LC";
"Aporia crataegi";"Aporia crataegi";"SK";"LC";
"Aporia crataegi";"Aporia crataegi";"UA";"No Red List available";
"Araschnia levana";"Araschnia levana";"AT";"LC";
"Araschnia levana";"Araschnia levana";"BA";"LC";
"Araschnia levana";"Araschnia levana";"BE";"LC";
"Araschnia levana";"Araschnia levana";"BG";"LC";
"Araschnia levana";"Araschnia levana";"BY";"Unknown";
"Araschnia levana";"Araschnia levana";"CH";"LC";
"Araschnia levana";"Araschnia levana";"CZ";"LC";
"Araschnia levana";"Araschnia levana";"DE";"LC";
"Araschnia levana";"Araschnia levana";"DK";"LC";
"Araschnia levana";"Araschnia levana";"EE";"No Red List available";
"Araschnia levana";"Araschnia levana";"ES";"Unknown";
"Araschnia levana";"Araschnia levana";"FI";"LC";
"Araschnia levana";"Araschnia levana";"FR";"LC";
"Araschnia levana";"Araschnia levana";"GR";"LC";
"Araschnia levana";"Araschnia levana";"HR";"LC";
"Araschnia levana";"Araschnia levana";"HU";"LC";
"Araschnia levana";"Araschnia levana";"IT";"EN";
"Araschnia levana";"Araschnia levana";"LT";"Unknown";
"Araschnia levana";"Araschnia levana";"LU";"NT";
"Araschnia levana";"Araschnia levana";"LV";"No Red List available";
"Araschnia levana";"Araschnia levana";"MD";"No Red List available";
"Araschnia levana";"Araschnia levana";"ME";"No Red List available";
"Araschnia levana";"Araschnia levana";"MK";"Unknown";
"Araschnia levana";"Araschnia levana";"NL";"LC";
"Araschnia levana";"Araschnia levana";"NO";"NtA";
"Araschnia levana";"Araschnia levana";"PL";"LC";
"Araschnia levana";"Araschnia levana";"RO";"No Red List available";
"Araschnia levana";"Araschnia levana";"RS";"LC";
"Araschnia levana";"Araschnia levana";"RU";"No Red List available";
"Araschnia levana";"Araschnia levana";"SE";"LC";
"Araschnia levana";"Araschnia levana";"SI";"LC";
"Araschnia levana";"Araschnia levana";"SK";"LC";
"Araschnia levana";"Araschnia levana";"UA";"No Red List available";
"Archon apollinus";"Archon apollinus";"GR";"NT";
"Arethusana arethusa";"Arethusana arethusa";"AD";"VU";
"Arethusana arethusa";"Arethusana arethusa";"AL";"VU";
"Arethusana arethusa";"Arethusana arethusa";"AT";"EN";
"Arethusana arethusa";"Arethusana arethusa";"BA";"LC";
"Arethusana arethusa";"Arethusana arethusa";"CH";"RE";
"Arethusana arethusa";"Arethusana arethusa";"CZ";"EN";
"Arethusana arethusa";"Arethusana arethusa";"DE";"RE";
"Arethusana arethusa";"Arethusana arethusa";"ES";"Unknown";
